dataset,scene_id,observation_id,area,role,source_shapefile_path,source_layer_type,source_feature_id,raw_class_label,normalized_class_label,sample_id,image_path,mask_path,patch_width,patch_height,centroid_x,centroid_y,geometry_area,edge_touch,extraction_status
meria_global,before_20181012T054431,,,,D:\Masters\Data_Creation\meria_global_s1_slc\processed_slc\cabcd011-9d82-4124-9f9c-120bdc406cf3_Palma_de_Mallorca\before_20181012T054431\Digitised_patches\PalmadeMallorca_before_20181012.shp,digitised_patches,1,,plastic,before_20181012T054431_1,D:\Masters\Data_Creation\Patches\meria_global\before_20181012T054431\plastic\before_20181012T054431_1_image.tif,D:\Masters\Data_Creation\Patches\meria_global\before_20181012T054431\plastic\before_20181012T054431_1_mask.tif,256,256,3.447174349147417,39.58888538266333,2.8894472031660308e-06,True,ok
meria_global,before_20181012T054431,,,,D:\Masters\Data_Creation\meria_global_s1_slc\processed_slc\cabcd011-9d82-4124-9f9c-120bdc406cf3_Palma_de_Mallorca\before_20181012T054431\Digitised_patches\PalmadeMallorca_before_20181012.shp,digitised_patches,2,,plastic,before_20181012T054431_2,D:\Masters\Data_Creation\Patches\meria_global\before_20181012T054431\plastic\before_20181012T054431_2_image.tif,D:\Masters\Data_Creation\Patches\meria_global\before_20181012T054431\plastic\before_20181012T054431_2_mask.tif,256,256,3.4494285292908358,39.58852903002264,2.645719197769856e-06,True,ok
meria_global,before_20181012T054431,,,,D:\Masters\Data_Creation\meria_global_s1_slc\processed_slc\cabcd011-9d82-4124-9f9c-120bdc406cf3_Palma_de_Mallorca\before_20181012T054431\Digitised_patches\PalmadeMallorca_before_20181012.shp,digitised_patches,3,,plastic,before_20181012T054431_3,D:\Masters\Data_Creation\Patches\meria_global\before_20181012T054431\plastic\before_20181012T054431_3_image.tif,D:\Masters\Data_Creation\Patches\meria_global\before_20181012T054431\plastic\before_20181012T054431_3_mask.tif,256,256,3.4544912839063455,39.587638074313894,9.874885582345299e-06,True,ok
meria_global,before_20181012T054431,,,,D:\Masters\Data_Creation\meria_global_s1_slc\processed_slc\cabcd011-9d82-4124-9f9c-120bdc406cf3_Palma_de_Mallorca\before_20181012T054431\Digitised_patches\PalmadeMallorca_before_20181012.shp,digitised_patches,5,,plastic,before_20181012T054431_5,D:\Masters\Data_Creation\Patches\meria_global\before_20181012T054431\plastic\before_20181012T054431_5_image.tif,D:\Masters\Data_Creation\Patches\meria_global\before_20181012T054431\plastic\before_20181012T054431_5_mask.tif,256,256,3.462406714349799,39.58743519811681,1.745598770336564e-05,True,ok
meria_global,before_20181012T054431,,,,D:\Masters\Data_Creation\meria_global_s1_slc\processed_slc\cabcd011-9d82-4124-9f9c-120bdc406cf3_Palma_de_Mallorca\before_20181012T054431\Digitised_patches\PalmadeMallorca_before_20181012.shp,digitised_patches,6,,plastic,before_20181012T054431_6,D:\Masters\Data_Creation\Patches\meria_global\before_20181012T054431\plastic\before_20181012T054431_6_image.tif,D:\Masters\Data_Creation\Patches\meria_global\before_20181012T054431\plastic\before_20181012T054431_6_mask.tif,256,256,3.4679808222395296,39.585530399558344,2.4776627331503084e-06,True,ok
meria_global,before_20181012T054431,,,,D:\Masters\Data_Creation\meria_global_s1_slc\processed_slc\cabcd011-9d82-4124-9f9c-120bdc406cf3_Palma_de_Mallorca\before_20181012T054431\Digitised_patches\PalmadeMallorca_before_20181012.shp,digitised_patches,7,,plastic,before_20181012T054431_7,D:\Masters\Data_Creation\Patches\meria_global\before_20181012T054431\plastic\before_20181012T054431_7_image.tif,D:\Masters\Data_Creation\Patches\meria_global\before_20181012T054431\plastic\before_20181012T054431_7_mask.tif,256,256,3.470373833164411,39.584584099381644,2.2275855590838206e-06,True,ok
meria_global,before_20181012T054431,,,,D:\Masters\Data_Creation\meria_global_s1_slc\processed_slc\cabcd011-9d82-4124-9f9c-120bdc406cf3_Palma_de_Mallorca\before_20181012T054431\Digitised_patches\PalmadeMallorca_before_20181012.shp,digitised_patches,10,,plastic,before_20181012T054431_10,D:\Masters\Data_Creation\Patches\meria_global\before_20181012T054431\plastic\before_20181012T054431_10_image.tif,D:\Masters\Data_Creation\Patches\meria_global\before_20181012T054431\plastic\before_20181012T054431_10_mask.tif,256,256,3.474709344615358,39.58409358007747,2.7673042689078596e-06,True,ok
meria_global,before_20181012T054431,,,,D:\Masters\Data_Creation\meria_global_s1_slc\processed_slc\cabcd011-9d82-4124-9f9c-120bdc406cf3_Palma_de_Mallorca\before_20181012T054431\Digitised_patches\PalmadeMallorca_before_20181012.shp,digitised_patches,11,,plastic,before_20181012T054431_11,D:\Masters\Data_Creation\Patches\meria_global\before_20181012T054431\plastic\before_20181012T054431_11_image.tif,D:\Masters\Data_Creation\Patches\meria_global\before_20181012T054431\plastic\before_20181012T054431_11_mask.tif,256,256,3.480864266327452,39.58316876681233,4.237392351452845e-06,True,ok
meria_global,before_20181012T054431,,,,D:\Masters\Data_Creation\meria_global_s1_slc\processed_slc\cabcd011-9d82-4124-9f9c-120bdc406cf3_Palma_de_Mallorca\before_20181012T054431\Digitised_patches\PalmadeMallorca_before_20181012.shp,digitised_patches,14,,plastic,before_20181012T054431_14,D:\Masters\Data_Creation\Patches\meria_global\before_20181012T054431\plastic\before_20181012T054431_14_image.tif,D:\Masters\Data_Creation\Patches\meria_global\before_20181012T054431\plastic\before_20181012T054431_14_mask.tif,256,256,3.4909516169700354,39.58089582873466,2.5130254430770067e-06,True,ok
meria_global,before_20181012T054431,,,,D:\Masters\Data_Creation\meria_global_s1_slc\processed_slc\cabcd011-9d82-4124-9f9c-120bdc406cf3_Palma_de_Mallorca\before_20181012T054431\Digitised_patches\PalmadeMallorca_before_20181012.shp,digitised_patches,19,,plastic,before_20181012T054431_19,D:\Masters\Data_Creation\Patches\meria_global\before_20181012T054431\plastic\before_20181012T054431_19_image.tif,D:\Masters\Data_Creation\Patches\meria_global\before_20181012T054431\plastic\before_20181012T054431_19_mask.tif,256,256,3.815374910009596,39.625999945074845,0.00394531558937528,True,ok
