target_id,obs_id,source_dataset,source_group_id,area,date,reference_time,timestamp_source,role,selection_rank,granule_name,acquisition_start,delta_h,scene_coverage_ratio,coverage_set_ratio,coverage_complete,download_group_key,aoi_buffer_km
marida_16PCC_2018-06-11:before:01,marida_16PCC_2018-06-11,MARIDA,16PCC/2018-06-11,16PCC,2018-06-11,2018-06-11T16:08:29Z,catalogue,before,1,S1A_IW_SLC__1SDV_20180609T235818_20180609T235845_022287_026979_1906.SAFE,2018-06-09T23:58:18Z,-40.17,0.220662,0.353001,False,S1A_IW_SLC__1SDV_20180609T235818_20180609T235845_022287_026979_1906,30.0
marida_16PCC_2018-06-11:before:02,marida_16PCC_2018-06-11,MARIDA,16PCC/2018-06-11,16PCC,2018-06-11,2018-06-11T16:08:29Z,catalogue,before,2,S1A_IW_SLC__1SDV_20180609T235753_20180609T235820_022287_026979_5471.SAFE,2018-06-09T23:57:53Z,-40.177,0.194842,0.353001,False,S1A_IW_SLC__1SDV_20180609T235753_20180609T235820_022287_026979_5471,30.0
marida_16PCC_2017-01-12:before:01,marida_16PCC_2017-01-12,MARIDA,16PCC/2017-01-12,16PCC,2017-01-12,2017-01-12T16:16:21Z,catalogue,before,1,S1A_IW_SLC__1SDV_20170109T235749_20170109T235816_014762_01808F_7B6A.SAFE,2017-01-09T23:57:49Z,-64.309,0.451237,0.451758,False,S1A_IW_SLC__1SDV_20170109T235749_20170109T235816_014762_01808F_7B6A,30.0
marida_16PCC_2017-01-12:before:02,marida_16PCC_2017-01-12,MARIDA,16PCC/2017-01-12,16PCC,2017-01-12,2017-01-12T16:16:21Z,catalogue,before,2,S1A_IW_SLC__1SDV_20170109T235814_20170109T235841_014762_01808F_7360.SAFE,2017-01-09T23:58:14Z,-64.302,0.016254,0.451758,False,S1A_IW_SLC__1SDV_20170109T235814_20170109T235841_014762_01808F_7360,30.0
marida_16PEC_2017-01-12:before:01,marida_16PEC_2017-01-12,MARIDA,16PEC/2017-01-12,16PEC,2017-01-12,2017-01-12T16:16:21Z,catalogue,before,1,S1A_IW_SLC__1SDV_20170109T235749_20170109T235816_014762_01808F_7B6A.SAFE,2017-01-09T23:57:49Z,-64.309,1.0,1.0,True,S1A_IW_SLC__1SDV_20170109T235749_20170109T235816_014762_01808F_7B6A,30.0
marida_16PEC_2019-01-12:before:01,marida_16PEC_2019-01-12,MARIDA,16PEC/2019-01-12,16PEC,2019-01-12,2019-01-12T16:16:31Z,catalogue,before,1,S1A_IW_SLC__1SDV_20190111T235757_20190111T235824_025437_02D177_7CEB.SAFE,2019-01-11T23:57:57Z,-16.309,0.76047,0.999727,True,S1A_IW_SLC__1SDV_20190111T235757_20190111T235824_025437_02D177_7CEB,30.0
marida_16PEC_2019-01-12:before:02,marida_16PEC_2019-01-12,MARIDA,16PEC/2019-01-12,16PEC,2019-01-12,2019-01-12T16:16:31Z,catalogue,before,2,S1A_IW_SLC__1SDV_20190111T235822_20190111T235849_025437_02D177_4D98.SAFE,2019-01-11T23:58:22Z,-16.302,0.396942,0.999727,True,S1A_IW_SLC__1SDV_20190111T235822_20190111T235849_025437_02D177_4D98,30.0
marida_16PCC_2020-12-12:after:01,marida_16PCC_2020-12-12,MARIDA,16PCC/2020-12-12,16PCC,2020-12-12,2020-12-12T16:16:51Z,catalogue,after,1,S1A_IW_SLC__1SDV_20201213T000637_20201213T000704_035660_042BF6_89BE.SAFE,2020-12-13T00:06:37Z,7.829,0.909075,0.911943,False,S1A_IW_SLC__1SDV_20201213T000637_20201213T000704_035660_042BF6_89BE,30.0
marida_16PCC_2020-12-12:after:02,marida_16PCC_2020-12-12,MARIDA,16PCC/2020-12-12,16PCC,2020-12-12,2020-12-12T16:16:51Z,catalogue,after,2,S1A_IW_SLC__1SDV_20201213T000613_20201213T000639_035660_042BF6_E230.SAFE,2020-12-13T00:06:13Z,7.823,0.105529,0.911943,False,S1A_IW_SLC__1SDV_20201213T000613_20201213T000639_035660_042BF6_E230,30.0
marida_16PCC_2018-12-13:before:01,marida_16PCC_2018-12-13,MARIDA,16PCC/2018-12-13,16PCC,2018-12-13,2018-12-13T16:16:51Z,catalogue,before,1,S1A_IW_SLC__1SDV_20181212T000624_20181212T000651_024985_02C127_51DC.SAFE,2018-12-12T00:06:24Z,-40.174,0.844737,0.849194,False,S1A_IW_SLC__1SDV_20181212T000624_20181212T000651_024985_02C127_51DC,30.0
marida_16PCC_2018-12-13:before:02,marida_16PCC_2018-12-13,MARIDA,16PCC/2018-12-13,16PCC,2018-12-13,2018-12-13T16:16:51Z,catalogue,before,2,S1A_IW_SLC__1SDV_20181212T000600_20181212T000627_024985_02C127_968A.SAFE,2018-12-12T00:06:00Z,-40.181,0.080742,0.849194,False,S1A_IW_SLC__1SDV_20181212T000600_20181212T000627_024985_02C127_968A,30.0
marida_16PCC_2018-12-13:after:01,marida_16PCC_2018-12-13,MARIDA,16PCC/2018-12-13,16PCC,2018-12-13,2018-12-13T16:16:51Z,catalogue,after,1,S1A_IW_SLC__1SDV_20181216T114533_20181216T114600_025050_02C392_0550.SAFE,2018-12-16T11:45:33Z,67.478,0.997101,1.0,True,S1A_IW_SLC__1SDV_20181216T114533_20181216T114600_025050_02C392_0550,30.0
marida_16PCC_2018-12-13:after:02,marida_16PCC_2018-12-13,MARIDA,16PCC/2018-12-13,16PCC,2018-12-13,2018-12-13T16:16:51Z,catalogue,after,2,S1A_IW_SLC__1SDV_20181216T114558_20181216T114625_025050_02C392_12CF.SAFE,2018-12-16T11:45:58Z,67.485,0.090879,1.0,True,S1A_IW_SLC__1SDV_20181216T114558_20181216T114625_025050_02C392_12CF,30.0
