obs_id,point_id,lat,lon
S1_S1A_IW_SLC__1SDV_20160716T214630_20160716T214657_012179_012E3A_DCAE,S1_S1A_IW_SLC__1SDV_20160716T214630_20160716T214657_012179_012E3A_DCAE_P0001,14.312803332492509,120.44606199137566
S1_S1A_IW_SLC__1SDV_20160716T214630_20160716T214657_012179_012E3A_DCAE,S1_S1A_IW_SLC__1SDV_20160716T214630_20160716T214657_012179_012E3A_DCAE_P0002,14.921780589692686,120.44606199137566
S1_S1A_IW_SLC__1SDV_20160716T214630_20160716T214657_012179_012E3A_DCAE,S1_S1A_IW_SLC__1SDV_20160716T214630_20160716T214657_012179_012E3A_DCAE_P0003,14.921780589692686,121.05191442595834
S1_S1A_IW_SLC__1SDV_20160716T214630_20160716T214657_012179_012E3A_DCAE,S1_S1A_IW_SLC__1SDV_20160716T214630_20160716T214657_012179_012E3A_DCAE_P0004,14.312803332492509,121.05191442595834
S1_S1A_IW_SLC__1SDV_20160716T214630_20160716T214657_012179_012E3A_DCAE,S1_S1A_IW_SLC__1SDV_20160716T214630_20160716T214657_012179_012E3A_DCAE_P0005,14.312803332492509,120.44606199137566
S1_S1A_IW_SLC__1SDV_20161005T235752_20161005T235819_013362_015506_6040,S1_S1A_IW_SLC__1SDV_20161005T235752_20161005T235819_013362_015506_6040_P0001,15.649277408865064,-87.95701751426795
S1_S1A_IW_SLC__1SDV_20161005T235752_20161005T235819_013362_015506_6040,S1_S1A_IW_SLC__1SDV_20161005T235752_20161005T235819_013362_015506_6040_P0002,16.342003592438537,-87.95701751426795
S1_S1A_IW_SLC__1SDV_20161005T235752_20161005T235819_013362_015506_6040,S1_S1A_IW_SLC__1SDV_20161005T235752_20161005T235819_013362_015506_6040_P0003,16.342003592438537,-86.6595923787466
S1_S1A_IW_SLC__1SDV_20161005T235752_20161005T235819_013362_015506_6040,S1_S1A_IW_SLC__1SDV_20161005T235752_20161005T235819_013362_015506_6040_P0004,15.649277408865064,-86.6595923787466
S1_S1A_IW_SLC__1SDV_20161005T235752_20161005T235819_013362_015506_6040,S1_S1A_IW_SLC__1SDV_20161005T235752_20161005T235819_013362_015506_6040_P0005,15.649277408865064,-87.95701751426795
