target_id,obs_id,source_dataset,source_group_id,area,date,reference_time,timestamp_source,role,selection_rank,granule_name,acquisition_start,delta_h,scene_coverage_ratio,coverage_set_ratio,coverage_complete,download_group_key,aoi_buffer_km,association_count
S1_S1A_IW_SLC__1SDV_20160716T214630_20160716T214657_012179_012E3A_DCAE:scene,S1_S1A_IW_SLC__1SDV_20160716T214630_20160716T214657_012179_012E3A_DCAE,deduplicated_global_s1,S1A_IW_SLC__1SDV_20160716T214630_20160716T214657_012179_012E3A_DCAE,Global_S1,2016-07-16,2016-07-16T21:46:30Z,s1_catalogue,scene,1,S1A_IW_SLC__1SDV_20160716T214630_20160716T214657_012179_012E3A_DCAE.SAFE,2016-07-16T21:46:30Z,0,1,1,True,S1A_IW_SLC__1SDV_20160716T214630_20160716T214657_012179_012E3A_DCAE,30.0,1
S1_S1A_IW_SLC__1SDV_20161005T235752_20161005T235819_013362_015506_6040:scene,S1_S1A_IW_SLC__1SDV_20161005T235752_20161005T235819_013362_015506_6040,deduplicated_global_s1,S1A_IW_SLC__1SDV_20161005T235752_20161005T235819_013362_015506_6040,Global_S1,2016-10-05,2016-10-05T23:57:52Z,s1_catalogue,scene,1,S1A_IW_SLC__1SDV_20161005T235752_20161005T235819_013362_015506_6040.SAFE,2016-10-05T23:57:52Z,0,1,1,True,S1A_IW_SLC__1SDV_20161005T235752_20161005T235819_013362_015506_6040,30.0,2
S1_S1A_IW_SLC__1SDV_20170109T235749_20170109T235816_014762_01808F_7B6A:scene,S1_S1A_IW_SLC__1SDV_20170109T235749_20170109T235816_014762_01808F_7B6A,deduplicated_global_s1,S1A_IW_SLC__1SDV_20170109T235749_20170109T235816_014762_01808F_7B6A,Global_S1,2017-01-09,2017-01-09T23:57:49Z,s1_catalogue,scene,1,S1A_IW_SLC__1SDV_20170109T235749_20170109T235816_014762_01808F_7B6A.SAFE,2017-01-09T23:57:49Z,0,1,1,True,S1A_IW_SLC__1SDV_20170109T235749_20170109T235816_014762_01808F_7B6A,30.0,1
S1_S1A_IW_SLC__1SDV_20170224T114518_20170224T114545_015425_019521_64D3:scene,S1_S1A_IW_SLC__1SDV_20170224T114518_20170224T114545_015425_019521_64D3,deduplicated_global_s1,S1A_IW_SLC__1SDV_20170224T114518_20170224T114545_015425_019521_64D3,Global_S1,2017-02-24,2017-02-24T11:45:18Z,s1_catalogue,scene,1,S1A_IW_SLC__1SDV_20170224T114518_20170224T114545_015425_019521_64D3.SAFE,2017-02-24T11:45:18Z,0,1,1,True,S1A_IW_SLC__1SDV_20170224T114518_20170224T114545_015425_019521_64D3,30.0,1
S1_S1A_IW_SLC__1SDV_20170224T114543_20170224T114610_015425_019521_2ED5:scene,S1_S1A_IW_SLC__1SDV_20170224T114543_20170224T114610_015425_019521_2ED5,deduplicated_global_s1,S1A_IW_SLC__1SDV_20170224T114543_20170224T114610_015425_019521_2ED5,Global_S1,2017-02-24,2017-02-24T11:45:43Z,s1_catalogue,scene,1,S1A_IW_SLC__1SDV_20170224T114543_20170224T114610_015425_019521_2ED5.SAFE,2017-02-24T11:45:43Z,0,1,1,True,S1A_IW_SLC__1SDV_20170224T114543_20170224T114610_015425_019521_2ED5,30.0,1
S1_S1A_IW_SLC__1SDV_20170226T235743_20170226T235810_015462_019635_9564:scene,S1_S1A_IW_SLC__1SDV_20170226T235743_20170226T235810_015462_019635_9564,deduplicated_global_s1,S1A_IW_SLC__1SDV_20170226T235743_20170226T235810_015462_019635_9564,Global_S1,2017-02-26,2017-02-26T23:57:43Z,s1_catalogue,scene,1,S1A_IW_SLC__1SDV_20170226T235743_20170226T235810_015462_019635_9564.SAFE,2017-02-26T23:57:43Z,0,1,1,True,S1A_IW_SLC__1SDV_20170226T235743_20170226T235810_015462_019635_9564,30.0,2
S1_S1A_IW_SLC__1SDV_20170226T235808_20170226T235835_015462_019635_27A8:scene,S1_S1A_IW_SLC__1SDV_20170226T235808_20170226T235835_015462_019635_27A8,deduplicated_global_s1,S1A_IW_SLC__1SDV_20170226T235808_20170226T235835_015462_019635_27A8,Global_S1,2017-02-26,2017-02-26T23:58:08Z,s1_catalogue,scene,1,S1A_IW_SLC__1SDV_20170226T235808_20170226T235835_015462_019635_27A8.SAFE,2017-02-26T23:58:08Z,0,1,1,True,S1A_IW_SLC__1SDV_20170226T235808_20170226T235835_015462_019635_27A8,30.0,3
S1_S1A_IW_SLC__1SDV_20170322T112901_20170322T112931_015804_01A07E_E746:scene,S1_S1A_IW_SLC__1SDV_20170322T112901_20170322T112931_015804_01A07E_E746,deduplicated_global_s1,S1A_IW_SLC__1SDV_20170322T112901_20170322T112931_015804_01A07E_E746,Global_S1,2017-03-22,2017-03-22T11:29:01Z,s1_catalogue,scene,1,S1A_IW_SLC__1SDV_20170322T112901_20170322T112931_015804_01A07E_E746.SAFE,2017-03-22T11:29:01Z,0,1,1,True,S1A_IW_SLC__1SDV_20170322T112901_20170322T112931_015804_01A07E_E746,30.0,1
S1_S1A_IW_SLC__1SDV_20170327T113700_20170327T113730_015877_01A2B2_6471:scene,S1_S1A_IW_SLC__1SDV_20170327T113700_20170327T113730_015877_01A2B2_6471,deduplicated_global_s1,S1A_IW_SLC__1SDV_20170327T113700_20170327T113730_015877_01A2B2_6471,Global_S1,2017-03-27,2017-03-27T11:37:00Z,s1_catalogue,scene,1,S1A_IW_SLC__1SDV_20170327T113700_20170327T113730_015877_01A2B2_6471.SAFE,2017-03-27T11:37:00Z,0,1,1,True,S1A_IW_SLC__1SDV_20170327T113700_20170327T113730_015877_01A2B2_6471,30.0,3
S1_S1A_IW_SLC__1SDV_20170825T235751_20170825T235818_018087_01E5F9_D3CA:scene,S1_S1A_IW_SLC__1SDV_20170825T235751_20170825T235818_018087_01E5F9_D3CA,deduplicated_global_s1,S1A_IW_SLC__1SDV_20170825T235751_20170825T235818_018087_01E5F9_D3CA,Global_S1,2017-08-25,2017-08-25T23:57:51Z,s1_catalogue,scene,1,S1A_IW_SLC__1SDV_20170825T235751_20170825T235818_018087_01E5F9_D3CA.SAFE,2017-08-25T23:57:51Z,0,1,1,True,S1A_IW_SLC__1SDV_20170825T235751_20170825T235818_018087_01E5F9_D3CA,30.0,2
