obs_id,source_dataset,source_group_id,role,candidate_count,selected_count,coverage_set_ratio,coverage_complete,reason
marida_48MYU_2019-12-01,MARIDA,48MYU/2019-12-01,before,0,0,0.0,False,no <=12h scene set reached 99.9% coverage
marida_48MYU_2019-12-01,MARIDA,48MYU/2019-12-01,after,0,0,0.0,False,no <=12h scene set reached 99.9% coverage
marida_19QDA_2019-01-11,MARIDA,19QDA/2019-01-11,before,0,0,0.0,False,no <=12h scene set reached 99.9% coverage
marida_19QDA_2019-01-11,MARIDA,19QDA/2019-01-11,after,0,0,0.0,False,no <=12h scene set reached 99.9% coverage
marida_16PCC_2018-06-11,MARIDA,16PCC/2018-06-11,before,2,2,0.353001,False,no <=12h scene set reached 99.9% coverage
marida_16PCC_2018-06-11,MARIDA,16PCC/2018-06-11,after,1,0,0.0,False,no <=12h scene set reached 99.9% coverage
marida_16PCC_2017-01-12,MARIDA,16PCC/2017-01-12,before,2,2,0.451758,False,no <=12h scene set reached 99.9% coverage
marida_16PCC_2017-01-12,MARIDA,16PCC/2017-01-12,after,0,0,0.0,False,no <=12h scene set reached 99.9% coverage
marida_16PEC_2017-01-12,MARIDA,16PEC/2017-01-12,before,2,1,1.0,True,selected
marida_16PEC_2017-01-12,MARIDA,16PEC/2017-01-12,after,0,0,0.0,False,no <=12h scene set reached 99.9% coverage
marida_16PEC_2019-01-12,MARIDA,16PEC/2019-01-12,before,2,2,0.999727,True,selected
marida_16PEC_2019-01-12,MARIDA,16PEC/2019-01-12,after,0,0,0.0,False,no <=12h scene set reached 99.9% coverage
marida_16PCC_2020-12-12,MARIDA,16PCC/2020-12-12,before,1,0,0.0,False,no <=12h scene set reached 99.9% coverage
marida_16PCC_2020-12-12,MARIDA,16PCC/2020-12-12,after,2,2,0.911943,False,no <=12h scene set reached 99.9% coverage
marida_16PCC_2018-12-13,MARIDA,16PCC/2018-12-13,before,4,2,0.849194,False,no <=12h scene set reached 99.9% coverage
marida_16PCC_2018-12-13,MARIDA,16PCC/2018-12-13,after,2,2,1.0,True,selected
marida_48PZC_2018-11-14,MARIDA,48PZC/2018-11-14,before,0,0,0.0,False,no <=12h scene set reached 99.9% coverage
marida_48PZC_2018-11-14,MARIDA,48PZC/2018-11-14,after,1,0,0.0,False,no <=12h scene set reached 99.9% coverage
marida_18QYF_2020-12-14,MARIDA,18QYF/2020-12-14,before,2,2,1.0,True,selected
marida_18QYF_2020-12-14,MARIDA,18QYF/2020-12-14,after,2,2,0.368585,False,no <=12h scene set reached 99.9% coverage
marida_18QYF_2020-03-14,MARIDA,18QYF/2020-03-14,before,0,0,0.0,False,no <=12h scene set reached 99.9% coverage
marida_18QYF_2020-03-14,MARIDA,18QYF/2020-03-14,after,3,1,0.550657,False,no <=12h scene set reached 99.9% coverage
marida_16PCC_2018-09-14,MARIDA,16PCC/2018-09-14,before,2,2,0.593051,False,no <=12h scene set reached 99.9% coverage
marida_16PCC_2018-09-14,MARIDA,16PCC/2018-09-14,after,0,0,0.0,False,no <=12h scene set reached 99.9% coverage
marida_18QYF_2020-10-15,MARIDA,18QYF/2020-10-15,before,2,2,0.959348,False,no <=12h scene set reached 99.9% coverage
marida_18QYF_2020-10-15,MARIDA,18QYF/2020-10-15,after,2,2,0.299523,False,no <=12h scene set reached 99.9% coverage
marida_16PCC_2020-11-15,MARIDA,16PCC/2020-11-15,before,1,1,0.00078,False,no <=12h scene set reached 99.9% coverage
marida_16PCC_2020-11-15,MARIDA,16PCC/2020-11-15,after,0,0,0.0,False,no <=12h scene set reached 99.9% coverage
marida_18QYF_2020-09-15,MARIDA,18QYF/2020-09-15,before,1,1,0.884533,False,no <=12h scene set reached 99.9% coverage
marida_18QYF_2020-09-15,MARIDA,18QYF/2020-09-15,after,1,1,1.0,True,selected
marida_16PEC_2018-02-16,MARIDA,16PEC/2018-02-16,before,2,2,1.0,True,selected
marida_16PEC_2018-02-16,MARIDA,16PEC/2018-02-16,after,1,1,0.098112,False,no <=12h scene set reached 99.9% coverage
marida_51PTS_2016-07-17,MARIDA,51PTS/2016-07-17,before,1,1,1.0,True,selected
marida_51PTS_2016-07-17,MARIDA,51PTS/2016-07-17,after,0,0,0.0,False,no <=12h scene set reached 99.9% coverage
marida_48PZC_2018-01-18,MARIDA,48PZC/2018-01-18,before,0,0,0.0,False,no <=12h scene set reached 99.9% coverage
marida_48PZC_2018-01-18,MARIDA,48PZC/2018-01-18,after,1,1,0.021401,False,no <=12h scene set reached 99.9% coverage
marida_51PTS_2019-05-18,MARIDA,51PTS/2019-05-18,before,2,2,1.0,True,selected
marida_51PTS_2019-05-18,MARIDA,51PTS/2019-05-18,after,0,0,0.0,False,no <=12h scene set reached 99.9% coverage
marida_16PCC_2020-09-18,MARIDA,16PCC/2020-09-18,before,0,0,0.0,False,no <=12h scene set reached 99.9% coverage
marida_16PCC_2020-09-18,MARIDA,16PCC/2020-09-18,after,4,2,0.840186,False,no <=12h scene set reached 99.9% coverage
marida_16PDC_2020-09-18,MARIDA,16PDC/2020-09-18,before,0,0,0.0,False,no <=12h scene set reached 99.9% coverage
marida_16PDC_2020-09-18,MARIDA,16PDC/2020-09-18,after,4,2,0.417091,False,no <=12h scene set reached 99.9% coverage
marida_18QYF_2020-03-19,MARIDA,18QYF/2020-03-19,before,1,1,0.645838,False,no <=12h scene set reached 99.9% coverage
marida_18QYF_2020-03-19,MARIDA,18QYF/2020-03-19,after,1,1,1.0,True,selected
marida_16PCC_2018-09-19,MARIDA,16PCC/2018-09-19,before,3,2,0.966546,False,no <=12h scene set reached 99.9% coverage
marida_16PCC_2018-09-19,MARIDA,16PCC/2018-09-19,after,0,0,0.0,False,no <=12h scene set reached 99.9% coverage
marida_16PDC_2018-09-19,MARIDA,16PDC/2018-09-19,before,4,2,0.507364,False,no <=12h scene set reached 99.9% coverage
marida_16PDC_2018-09-19,MARIDA,16PDC/2018-09-19,after,0,0,0.0,False,no <=12h scene set reached 99.9% coverage
marida_18QYF_2020-10-20,MARIDA,18QYF/2020-10-20,before,1,1,0.90456,False,no <=12h scene set reached 99.9% coverage
marida_18QYF_2020-10-20,MARIDA,18QYF/2020-10-20,after,1,1,1.0,True,selected
marida_30VWH_2018-04-20,MARIDA,30VWH/2018-04-20,before,2,1,1.0,True,selected
marida_30VWH_2018-04-20,MARIDA,30VWH/2018-04-20,after,7,1,1.0,True,selected
marida_16PCC_2017-02-21,MARIDA,16PCC/2017-02-21,before,4,2,0.883172,False,no <=12h scene set reached 99.9% coverage
marida_16PCC_2017-02-21,MARIDA,16PCC/2017-02-21,after,2,2,1.0,True,selected
marida_16PCC_2018-02-21,MARIDA,16PCC/2018-02-21,before,2,2,1.0,True,selected
marida_16PCC_2018-02-21,MARIDA,16PCC/2018-02-21,after,2,2,0.500154,False,no <=12h scene set reached 99.9% coverage
marida_18QYF_2020-12-22,MARIDA,18QYF/2020-12-22,before,1,1,1.0,True,selected
marida_18QYF_2020-12-22,MARIDA,18QYF/2020-12-22,after,2,2,0.337247,False,no <=12h scene set reached 99.9% coverage
marida_18QWF_2020-03-22,MARIDA,18QWF/2020-03-22,before,1,1,0.528954,False,no <=12h scene set reached 99.9% coverage
marida_18QWF_2020-03-22,MARIDA,18QWF/2020-03-22,after,2,1,1.0,True,selected
marida_18QYF_2021-01-23,MARIDA,18QYF/2021-01-23,before,1,1,1.0,True,selected
marida_18QYF_2021-01-23,MARIDA,18QYF/2021-01-23,after,1,1,1.0,True,selected
marida_16PCC_2020-09-23,MARIDA,16PCC/2020-09-23,before,0,0,0.0,False,no <=12h scene set reached 99.9% coverage
marida_16PCC_2020-09-23,MARIDA,16PCC/2020-09-23,after,2,2,1.0,True,selected
marida_16PDC_2018-10-24,MARIDA,16PDC/2018-10-24,before,2,2,1.0,True,selected
marida_16PDC_2018-10-24,MARIDA,16PDC/2018-10-24,after,0,0,0.0,False,no <=12h scene set reached 99.9% coverage
marida_48PZC_2019-11-24,MARIDA,48PZC/2019-11-24,before,1,0,0.0,False,no <=12h scene set reached 99.9% coverage
marida_48PZC_2019-11-24,MARIDA,48PZC/2019-11-24,after,1,1,1.0,True,selected
marida_18QYF_2020-03-24,MARIDA,18QYF/2020-03-24,before,0,0,0.0,False,no <=12h scene set reached 99.9% coverage
marida_18QYF_2020-03-24,MARIDA,18QYF/2020-03-24,after,0,0,0.0,False,no <=12h scene set reached 99.9% coverage
marida_36JUN_2019-04-24,MARIDA,36JUN/2019-04-24,before,2,2,1.0,True,selected
marida_36JUN_2019-04-24,MARIDA,36JUN/2019-04-24,after,2,2,0.656755,False,no <=12h scene set reached 99.9% coverage
marida_16PCC_2020-08-24,MARIDA,16PCC/2020-08-24,before,2,2,0.62202,False,no <=12h scene set reached 99.9% coverage
marida_16PCC_2020-08-24,MARIDA,16PCC/2020-08-24,after,4,2,0.783373,False,no <=12h scene set reached 99.9% coverage
marida_48MXU_2019-05-25,MARIDA,48MXU/2019-05-25,before,1,1,0.263453,False,no <=12h scene set reached 99.9% coverage
marida_48MXU_2019-05-25,MARIDA,48MXU/2019-05-25,after,2,2,1.0,True,selected
marida_16PCC_2018-02-26,MARIDA,16PCC/2018-02-26,before,2,1,0.011985,False,no <=12h scene set reached 99.9% coverage
marida_16PCC_2018-02-26,MARIDA,16PCC/2018-02-26,after,2,2,0.926561,False,no <=12h scene set reached 99.9% coverage
marida_16PCC_2019-01-27,MARIDA,16PCC/2019-01-27,before,0,0,0.0,False,no <=12h scene set reached 99.9% coverage
marida_16PCC_2019-01-27,MARIDA,16PCC/2019-01-27,after,3,2,0.961115,False,no <=12h scene set reached 99.9% coverage
marida_16QED_2019-01-27,MARIDA,16QED/2019-01-27,before,0,0,0.0,False,no <=12h scene set reached 99.9% coverage
marida_16QED_2019-01-27,MARIDA,16QED/2019-01-27,after,1,1,1.0,True,selected
marida_16PCC_2020-09-28,MARIDA,16PCC/2020-09-28,before,0,0,0.0,False,no <=12h scene set reached 99.9% coverage
marida_16PCC_2020-09-28,MARIDA,16PCC/2020-09-28,after,0,0,0.0,False,no <=12h scene set reached 99.9% coverage
marida_16PDC_2020-09-28,MARIDA,16PDC/2020-09-28,before,2,2,1.0,True,selected
marida_16PDC_2020-09-28,MARIDA,16PDC/2020-09-28,after,2,2,0.57362,False,no <=12h scene set reached 99.9% coverage
marida_16PEC_2015-11-29,MARIDA,16PEC/2015-11-29,before,0,0,0.0,False,no <=12h scene set reached 99.9% coverage
marida_16PEC_2015-11-29,MARIDA,16PEC/2015-11-29,after,0,0,0.0,False,no <=12h scene set reached 99.9% coverage
marida_18QYF_2020-11-29,MARIDA,18QYF/2020-11-29,before,1,1,1.0,True,selected
marida_18QYF_2020-11-29,MARIDA,18QYF/2020-11-29,after,2,2,0.668466,False,no <=12h scene set reached 99.9% coverage
marida_18QYF_2020-12-29,MARIDA,18QYF/2020-12-29,before,2,2,0.155681,False,no <=12h scene set reached 99.9% coverage
marida_18QYF_2020-12-29,MARIDA,18QYF/2020-12-29,after,1,1,0.790382,False,no <=12h scene set reached 99.9% coverage
marida_51RVQ_2017-08-29,MARIDA,51RVQ/2017-08-29,before,1,1,0.831262,False,no <=12h scene set reached 99.9% coverage
marida_51RVQ_2017-08-29,MARIDA,51RVQ/2017-08-29,after,0,0,0.0,False,no <=12h scene set reached 99.9% coverage
marida_18QYF_2021-01-03,MARIDA,18QYF/2021-01-03,before,1,1,1.0,True,selected
marida_18QYF_2021-01-03,MARIDA,18QYF/2021-01-03,after,2,2,0.58482,False,no <=12h scene set reached 99.9% coverage
marida_16PDC_2016-11-03,MARIDA,16PDC/2016-11-03,before,0,0,0.0,False,no <=12h scene set reached 99.9% coverage
marida_16PDC_2016-11-03,MARIDA,16PDC/2016-11-03,after,0,0,0.0,False,no <=12h scene set reached 99.9% coverage
marida_16PDC_2018-11-03,MARIDA,16PDC/2018-11-03,before,2,2,1.0,True,selected
marida_16PDC_2018-11-03,MARIDA,16PDC/2018-11-03,after,4,2,0.870281,False,no <=12h scene set reached 99.9% coverage
marida_16PCC_2017-08-30,MARIDA,16PCC/2017-08-30,before,0,0,0.0,False,no <=12h scene set reached 99.9% coverage
marida_16PCC_2017-08-30,MARIDA,16PCC/2017-08-30,after,2,1,1.0,True,selected
marida_16PCC_2018-08-30,MARIDA,16PCC/2018-08-30,before,2,2,1.0,True,selected
marida_16PCC_2018-08-30,MARIDA,16PCC/2018-08-30,after,2,2,0.342951,False,no <=12h scene set reached 99.9% coverage
marida_18QYF_2020-12-04,MARIDA,18QYF/2020-12-04,before,2,2,0.087127,False,no <=12h scene set reached 99.9% coverage
marida_18QYF_2020-12-04,MARIDA,18QYF/2020-12-04,after,1,1,0.898415,False,no <=12h scene set reached 99.9% coverage
marida_50LLR_2018-03-04,MARIDA,50LLR/2018-03-04,before,3,1,1.0,True,selected
marida_50LLR_2018-03-04,MARIDA,50LLR/2018-03-04,after,1,1,1.0,True,selected
marida_16PCC_2016-09-04,MARIDA,16PCC/2016-09-04,before,0,0,0.0,False,no <=12h scene set reached 99.9% coverage
marida_16PCC_2016-09-04,MARIDA,16PCC/2016-09-04,after,0,0,0.0,False,no <=12h scene set reached 99.9% coverage
marida_16PCC_2019-09-04,MARIDA,16PCC/2019-09-04,before,2,2,0.85081,False,no <=12h scene set reached 99.9% coverage
marida_16PCC_2019-09-04,MARIDA,16PCC/2019-09-04,after,2,1,0.999957,True,selected
marida_48MYU_2017-12-06,MARIDA,48MYU/2017-12-06,before,2,2,1.0,True,selected
marida_48MYU_2017-12-06,MARIDA,48MYU/2017-12-06,after,1,1,1.0,True,selected
marida_48MXU_2018-12-06,MARIDA,48MXU/2018-12-06,before,1,0,0.0,False,no <=12h scene set reached 99.9% coverage
marida_48MXU_2018-12-06,MARIDA,48MXU/2018-12-06,after,2,1,0.135325,False,no <=12h scene set reached 99.9% coverage
marida_52SDD_2018-10-07,MARIDA,52SDD/2018-10-07,before,2,1,1.0,True,selected
marida_52SDD_2018-10-07,MARIDA,52SDD/2018-10-07,after,0,0,0.0,False,no <=12h scene set reached 99.9% coverage
marida_18QYG_2020-03-07,MARIDA,18QYG/2020-03-07,before,2,2,1.0,True,selected
marida_18QYG_2020-03-07,MARIDA,18QYG/2020-03-07,after,2,2,1.0,True,selected
marida_16PEC_2018-03-08,MARIDA,16PEC/2018-03-08,before,2,2,1.0,True,selected
marida_16PEC_2018-03-08,MARIDA,16PEC/2018-03-08,after,1,1,1.0,True,selected
marida_16QED_2018-03-08,MARIDA,16QED/2018-03-08,before,2,2,0.995934,False,no <=12h scene set reached 99.9% coverage
marida_16QED_2018-03-08,MARIDA,16QED/2018-03-08,after,1,1,1.0,True,selected
marida_16PEC_2017-10-09,MARIDA,16PEC/2017-10-09,before,1,1,0.199548,False,no <=12h scene set reached 99.9% coverage
marida_16PEC_2017-10-09,MARIDA,16PEC/2017-10-09,after,0,0,0.0,False,no <=12h scene set reached 99.9% coverage
nasa_planetscope_20160928_153233_0e16,NASA_PlanetScope,20160928_153233_0e16,before,0,0,0.0,False,no <=12h scene set reached 99.9% coverage
nasa_planetscope_20160928_153233_0e16,NASA_PlanetScope,20160928_153233_0e16,after,2,2,0.022074,False,no <=12h scene set reached 99.9% coverage
nasa_planetscope_20161008_153104_0e3a,NASA_PlanetScope,20161008_153104_0e3a,before,2,1,1.0,True,selected
nasa_planetscope_20161008_153104_0e3a,NASA_PlanetScope,20161008_153104_0e3a,after,0,0,0.0,False,no <=12h scene set reached 99.9% coverage
nasa_planetscope_20161008_153105_0e3a,NASA_PlanetScope,20161008_153105_0e3a,before,2,1,1.0,True,selected
nasa_planetscope_20161008_153105_0e3a,NASA_PlanetScope,20161008_153105_0e3a,after,0,0,0.0,False,no <=12h scene set reached 99.9% coverage
nasa_planetscope_20170227_203307_0c37,NASA_PlanetScope,20170227_203307_0c37,before,1,1,1.0,True,selected
nasa_planetscope_20170227_203307_0c37,NASA_PlanetScope,20170227_203307_0c37,after,0,0,0.0,False,no <=12h scene set reached 99.9% coverage
nasa_planetscope_20170227_203600_1,NASA_PlanetScope,20170227_203600_1,before,2,2,1.0,True,selected
nasa_planetscope_20170227_203600_1,NASA_PlanetScope,20170227_203600_1,after,0,0,0.0,False,no <=12h scene set reached 99.9% coverage
nasa_planetscope_20170227_203601_0c46,NASA_PlanetScope,20170227_203601_0c46,before,2,2,1.0,True,selected
nasa_planetscope_20170227_203601_0c46,NASA_PlanetScope,20170227_203601_0c46,after,0,0,0.0,False,no <=12h scene set reached 99.9% coverage
nasa_planetscope_20170322_153132_0e0f,NASA_PlanetScope,20170322_153132_0e0f,before,1,1,0.037271,False,no <=12h scene set reached 99.9% coverage
nasa_planetscope_20170322_153132_0e0f,NASA_PlanetScope,20170322_153132_0e0f,after,2,2,0.642684,False,no <=12h scene set reached 99.9% coverage
nasa_planetscope_20170323_152750_0e20,NASA_PlanetScope,20170323_152750_0e20,before,1,1,1.0,True,selected
nasa_planetscope_20170323_152750_0e20,NASA_PlanetScope,20170323_152750_0e20,after,0,0,0.0,False,no <=12h scene set reached 99.9% coverage
nasa_planetscope_20170326_153233_0e26,NASA_PlanetScope,20170326_153233_0e26,before,0,0,0.0,False,no <=12h scene set reached 99.9% coverage
nasa_planetscope_20170326_153233_0e26,NASA_PlanetScope,20170326_153233_0e26,after,1,1,1.0,True,selected
nasa_planetscope_20170326_153234_0e26,NASA_PlanetScope,20170326_153234_0e26,before,0,0,0.0,False,no <=12h scene set reached 99.9% coverage
