obs_id,source_dataset,source_group_id,area,reference_time,timestamp_source,feature_count,aoi_buffer_km,aoi_west,aoi_south,aoi_east,aoi_north
marida_48MYU_2019-12-01,MARIDA,48MYU/2019-12-01,48MYU,2019-12-01T03:01:01Z,catalogue,4,30.0,106.59634514583671,-6.298315507412215,107.18537478631985,-5.6892057965703735
marida_19QDA_2019-01-11,MARIDA,19QDA/2019-01-11,19QDA,2019-01-11T15:17:01Z,catalogue,5,30.0,-70.207300051098,18.146211909978078,-69.54144165609097,18.75543875001606
marida_16PCC_2018-06-11,MARIDA,16PCC/2018-06-11,16PCC,2018-06-11T16:08:29Z,catalogue,53,30.0,-88.92506914823514,15.426424951066076,-87.78930562046315,16.290854433977543
marida_16PCC_2017-01-12,MARIDA,16PCC/2017-01-12,16PCC,2017-01-12T16:16:21Z,catalogue,28,30.0,-88.68372029347597,15.432940089936547,-87.78786065877492,16.20418545678826
marida_16PEC_2017-01-12,MARIDA,16PEC/2017-01-12,16PEC,2017-01-12T16:16:21Z,catalogue,40,30.0,-87.27693311285574,15.501038661295068,-85.94967278139299,16.48065644573778
marida_16PEC_2019-01-12,MARIDA,16PEC/2019-01-12,16PEC,2019-01-12T16:16:31Z,catalogue,60,30.0,-87.28082151836338,15.483434423638773,-85.86093641026656,16.548161550600565
marida_16PCC_2020-12-12,MARIDA,16PCC/2020-12-12,16PCC,2020-12-12T16:16:51Z,catalogue,28,30.0,-88.61539939609482,15.432105956397908,-87.7421567366746,16.29494273170535
marida_16PCC_2018-12-13,MARIDA,16PCC/2018-12-13,16PCC,2018-12-13T16:16:51Z,catalogue,33,30.0,-88.70064744912774,15.429631746356055,-87.63690015406618,16.362713456090944
marida_48PZC_2018-11-14,MARIDA,48PZC/2018-11-14,48PZC,2018-11-14T03:09:59Z,catalogue,17,30.0,108.10198238242465,15.557777837184348,108.90298869896542,16.282947904820777
marida_18QYF_2020-12-14,MARIDA,18QYF/2020-12-14,18QYF,2020-12-14T15:26:41Z,catalogue,4,30.0,-72.68846630812828,18.269838830895736,-72.07008425365548,18.856331091960612
marida_18QYF_2020-03-14,MARIDA,18QYF/2020-03-14,18QYF,2020-03-14T15:26:39Z,catalogue,8,30.0,-72.79608552152192,18.27793478854745,-72.08074576226645,18.865731657663794
marida_16PCC_2018-09-14,MARIDA,16PCC/2018-09-14,16PCC,2018-09-14T16:09:01Z,catalogue,44,30.0,-88.65531445477787,15.429508187789656,-87.56820989120449,16.40967732786872
marida_18QYF_2020-10-15,MARIDA,18QYF/2020-10-15,18QYF,2020-10-15T15:26:51Z,catalogue,11,30.0,-72.82837059132989,17.873969398640305,-72.02044523420787,19.02058628655016
marida_16PCC_2020-11-15,MARIDA,16PCC/2020-11-15,16PCC,2020-11-15T16:25:41Z,catalogue,24,30.0,-89.13635018225041,15.47836360881221,-88.23983088899658,16.296268842723173
marida_18QYF_2020-09-15,MARIDA,18QYF/2020-09-15,18QYF,2020-09-15T15:26:41Z,catalogue,9,30.0,-72.99903346981881,18.36527251569919,-72.23317179325079,19.06639016403939
marida_16PEC_2018-02-16,MARIDA,16PEC/2018-02-16,16PEC,2018-02-16T16:13:41Z,catalogue,29,30.0,-87.2599424969865,15.5168702981655,-85.98152009921802,16.241527436717575
marida_51PTS_2016-07-17,MARIDA,51PTS/2016-07-17,51PTS,2016-07-17T02:16:12Z,catalogue,2,30.0,120.44606199137566,14.312803332492509,121.05191442595834,14.921780589692686
marida_48PZC_2018-01-18,MARIDA,48PZC/2018-01-18,48PZC,2018-01-18T03:10:39Z,catalogue,27,30.0,108.0325801923376,15.400281859026315,109.08328601032197,16.36003032419651
