obs_id,area,date,planet_acquired,points,point_coordinates,before_name,before_start,before_delta_h,before_coverage_ratio,before_candidate_count,before_rejection_reason,before_download_group_key,after_name,after_start,after_delta_h,after_coverage_ratio,after_candidate_count,after_rejection_reason,after_download_group_key,aoi_buffer_km,coverage_threshold,notes
cabcd011-9d82-4124-9f9c-120bdc406cf3,Palma de Mallorca,2018-10-12,2018-10-12 10:05:28 UTC,4,39.66174 N 3.46868 E; 39.57672 N 3.42316 E; 39.63309 N 3.54552 E; 39.62612 N 3.37886 E,S1B_IW_SLC__1SDV_20181012T054431_20181012T054458_013115_0183B4_07F8.SAFE,2018-10-12 05:44:31 UTC,-4.35,1.000,17,-,S1B_IW_SLC__1SDV_20181012T054431_20181012T054458_013115_0183B4_07F8,S1A_IW_SLC__1SDV_20181012T173756_20181012T173823_024106_02A2A6_DA1D.SAFE,2018-10-12 17:37:56 UTC,+7.54,1.000,19,-,S1A_IW_SLC__1SDV_20181012T173756_20181012T173823_024106_02A2A6_DA1D,5.0,0.75,Patches visible along the whole Palma de Mallorca coast from 2018-10-11 onwards.
05e7c3bc-2eac-4c4b-ba8a-6bf8aa4c0789,Palma de Mallorca,2018-10-12,2018-10-12 10:05:28 UTC,5,39.60700 N 3.46900 E; 40.50632 N 3.46900 E; 38.70768 N 3.46900 E; 39.60116 N 4.63622 E; 39.60116 N 2.30178 E,-,-,-,-,61,no candidate met 0.75 coverage threshold,-,-,-,-,-,64,no candidate met 0.75 coverage threshold,-,5.0,0.75,
9e17ce98-9eeb-40f6-989e-894dc2be72ea,Bay Islands of Honduras,2017-10-12,2017-10-12 14:12:56 UTC,5,16.01700 N 86.69200 W; 16.91632 N 86.69200 W; 15.11768 N 86.69200 W; 16.01497 N 85.75636 W; 16.01497 N 87.62764 W,S1A_IW_SLC__1SDV_20171005T113709_20171005T113739_018677_01F81E_9D47.SAFE,2017-10-05 11:37:09 UTC,-170.60,0.798,23,-,S1A_IW_SLC__1SDV_20171005T113709_20171005T113739_018677_01F81E_9D47,S1A_IW_SLC__1SDV_20171017T113709_20171017T113739_018852_01FD74_F01C.SAFE,2017-10-17 11:37:09 UTC,+117.40,0.798,22,-,S1A_IW_SLC__1SDV_20171017T113709_20171017T113739_018852_01FD74_F01C,5.0,0.75,Same debris visible again in the following year. Additional Planet debris examples were noted during 2018-10-10 to 2018-10-13 near 16.17511 N 86.64093 W; 16.26083 N 86.66296 W; 16.16267 N 86.39596 W; 16.08530 N 86.87297 W.
33a32832-fc41-4fdd-8c91-a41844fc1709,Bay Islands of Honduras,2017-10-17,2017-10-17 15:35:59 UTC,5,16.02500 N 86.39200 W; 16.92432 N 86.39200 W; 15.12568 N 86.39200 W; 16.02297 N 85.45633 W; 16.02297 N 87.32767 W,S1A_IW_SLC__1SDV_20171017T113709_20171017T113739_018852_01FD74_F01C.SAFE,2017-10-17 11:37:09 UTC,-3.98,0.799,21,-,S1A_IW_SLC__1SDV_20171017T113709_20171017T113739_018852_01FD74_F01C,S1A_IW_SLC__1SDV_20171029T113710_20171029T113739_019027_0202C9_66C0.SAFE,2017-10-29 11:37:10 UTC,+284.02,0.799,18,-,S1A_IW_SLC__1SDV_20171029T113710_20171029T113739_019027_0202C9_66C0,5.0,0.75,"Found something at 15.95362 N 86.77741 W in a 2017-10-15 Planet image, and also at 16 deg 20 min 13 sec N 88 deg 26 min 19 sec W. Both were difficult to see in the SAR image."
57bbff03-21eb-54de-9d18-d8a65b256bd5,Ghana,2018-10-20,2018-10-20 10:00:00 UTC,3,5.51110 N 0.15962 W; 5.49559 N 0.20271 W; 5.54051 N 0.09004 W,S1A_IW_SLC__1SDV_20181018T181758_20181018T181828_024194_02A587_7BBC.SAFE,2018-10-18 18:17:58 UTC,-39.70,1.000,5,-,S1A_IW_SLC__1SDV_20181018T181758_20181018T181828_024194_02A587_7BBC,S1B_IW_SLC__1SDV_20181024T181717_20181024T181744_013298_01895D_793F.SAFE,2018-10-24 18:17:17 UTC,+104.29,1.000,5,-,S1B_IW_SLC__1SDV_20181024T181717_20181024T181744_013298_01895D_793F,0.0,1.00,Accra drift points supplied manually from Planet imagery (3 points). Planet image time supplied as 10:00 UTC.
cd77705c-782d-5b99-935f-405bfd905cbf,Ghana,2018-10-26,2018-10-26 10:00:00 UTC,15,5.85937 N 1.04685 E; 5.87677 N 1.06085 E; 5.87614 N 1.06552 E; 5.90579 N 1.08869 E; 5.94711 N 1.12559 E; 5.77900 N 1.20574 E; 5.81656 N 1.22435 E; 5.86151 N 1.23477 E; 5.88413 N 1.21947 E; 5.90409 N 1.21610 E; 5.64817 N 0.71869 E; 5.61499 N 0.74869 E; 5.69881 N 0.40206 E; 5.65733 N 0.45817 E; 5.66879 N 0.33390 E,S1A_IW_SLC__1SDV_20181025T180953_20181025T181020_024296_02A8C4_97A2.SAFE,2018-10-25 18:09:53 UTC,-15.84,1.000,10,-,S1A_IW_SLC__1SDV_20181025T180953_20181025T181020_024296_02A8C4_97A2,S1B_IW_SLC__1SDV_20181031T180908_20181031T180935_013400_018CA3_F37E.SAFE,2018-10-31 18:09:08 UTC,+128.15,1.000,10,-,S1B_IW_SLC__1SDV_20181031T180908_20181031T180935_013400_018CA3_F37E,0.0,1.00,Accra drift points supplied manually from Planet imagery (15 points). Planet image time assumed as 10:00 UTC from the supplied Accra date list.
d918b4e9-16ac-5c30-830f-6945943e1d9e,Ghana,2018-10-27,2018-10-27 10:00:00 UTC,6,5.13441 N 0.82961 W; 5.11975 N 0.85337 W; 5.18168 N 0.72550 W; 5.34134 N 0.52115 W; 5.34522 N 0.50333 W; 5.32668 N 0.52276 W,S1B_IW_SLC__1SDV_20181024T181717_20181024T181744_013298_01895D_793F.SAFE,2018-10-24 18:17:17 UTC,-63.71,1.000,5,-,S1B_IW_SLC__1SDV_20181024T181717_20181024T181744_013298_01895D_793F,S1A_IW_SLC__1SDV_20181030T181758_20181030T181828_024369_02AB27_32F5.SAFE,2018-10-30 18:17:58 UTC,+80.30,1.000,5,-,S1A_IW_SLC__1SDV_20181030T181758_20181030T181828_024369_02AB27_32F5,0.0,1.00,Accra drift points supplied manually from Planet imagery (6 points). Planet image time assumed as 10:00 UTC from the supplied Accra date list.
d9db6dd4-4db8-5723-96ba-57d182cda0b7_A,Ghana,2018-10-28,2018-10-28 10:00:00 UTC,7,5.49065 N 0.13211 W; 5.46052 N 0.16399 W; 5.43945 N 0.19050 W; 5.63366 N 0.14447 E; 5.38590 N 0.13718 E; 5.29885 N 0.54256 W; 5.14321 N 0.90926 W,S1B_IW_SLC__1SDV_20181024T181717_20181024T181744_013298_01895D_793F.SAFE,2018-10-24 18:17:17 UTC,-87.71,1.000,18,-,S1B_IW_SLC__1SDV_20181024T181717_20181024T181744_013298_01895D_793F,S1A_IW_SLC__1SDV_20181030T181758_20181030T181828_024369_02AB27_32F5.SAFE,2018-10-30 18:17:58 UTC,+56.30,1.000,17,-,S1A_IW_SLC__1SDV_20181030T181758_20181030T181828_024369_02AB27_32F5,0.0,1.00,"Accra drift points supplied manually from Planet imagery (14 points). Planet image time assumed as 10:00 UTC from the supplied Accra date list. Split from d9db6dd4-4db8-5723-96ba-57d182cda0b7 because no single Sentinel-1 scene covered every point. This subset uses P01, P02, P03, P04, P05, P06, P07."
d9db6dd4-4db8-5723-96ba-57d182cda0b7_B,Ghana,2018-10-28,2018-10-28 10:00:00 UTC,7,5.68527 N 0.82501 E; 5.68972 N 0.84982 E; 5.57777 N 0.74694 E; 5.53214 N 0.81040 E; 5.77493 N 0.99191 E; 5.84613 N 1.04096 E; 5.88072 N 1.08092 E,S1A_IW_SLC__1SDV_20181025T180953_20181025T181020_024296_02A8C4_97A2.SAFE,2018-10-25 18:09:53 UTC,-63.84,1.000,18,-,S1A_IW_SLC__1SDV_20181025T180953_20181025T181020_024296_02A8C4_97A2,S1B_IW_SLC__1SDV_20181031T180908_20181031T180935_013400_018CA3_F37E.SAFE,2018-10-31 18:09:08 UTC,+80.15,1.000,17,-,S1B_IW_SLC__1SDV_20181031T180908_20181031T180935_013400_018CA3_F37E,0.0,1.00,"Accra drift points supplied manually from Planet imagery (14 points). Planet image time assumed as 10:00 UTC from the supplied Accra date list. Split from d9db6dd4-4db8-5723-96ba-57d182cda0b7 because no single Sentinel-1 scene covered every point. This subset uses P08, P09, P10, P11, P12, P13, P14."
91ea9edc-67b4-4211-8532-35deec4a3148,Ghana,2018-10-31,2018-10-31 09:59:25 UTC,12,5.30627 N 0.64504 W; 5.30247 N 0.65470 W; 5.26347 N 0.70762 W; 5.23042 N 0.74374 W; 5.20117 N 0.75417 W; 5.16331 N 0.76218 W; 5.49664 N 0.29278 W; 5.49416 N 0.32892 W; 5.46179 N 0.35519 W; 5.39865 N 0.45780 W; 5.35748 N 0.51469 W; 5.68871 N 0.13781 E,S1A_IW_SLC__1SDV_20181030T181758_20181030T181828_024369_02AB27_32F5.SAFE,2018-10-30 18:17:58 UTC,-15.69,1.000,7,-,S1A_IW_SLC__1SDV_20181030T181758_20181030T181828_024369_02AB27_32F5,S1B_IW_SLC__1SDV_20181105T181717_20181105T181744_013473_018EDC_5E15.SAFE,2018-11-05 18:17:17 UTC,+128.30,1.000,8,-,S1B_IW_SLC__1SDV_20181105T181717_20181105T181744_013473_018EDC_5E15,0.0,1.00,Accra drift points supplied manually from Planet imagery (12 points). Planet image time supplied as 10:00 UTC.
