obs_id,obs_date,area,region,pt_id,lat,lon,dms,notes,point_source
cabcd011-9d82-4124-9f9c-120bdc406cf3,2018-10-12,Palma de Mallorca,Spain,cabcd011-9d82-4124-9f9c-120bdc406cf3_P01,39.66174,3.46868,39.66174 N 3.46868 E,Patches visible along the whole Palma de Mallorca coast from 2018-10-11 onwards.,explicit
cabcd011-9d82-4124-9f9c-120bdc406cf3,2018-10-12,Palma de Mallorca,Spain,cabcd011-9d82-4124-9f9c-120bdc406cf3_P02,39.57672,3.42316,39.57672 N 3.42316 E,Patches visible along the whole Palma de Mallorca coast from 2018-10-11 onwards.,explicit
cabcd011-9d82-4124-9f9c-120bdc406cf3,2018-10-12,Palma de Mallorca,Spain,cabcd011-9d82-4124-9f9c-120bdc406cf3_P03,39.63309,3.54552,39.63309 N 3.54552 E,Patches visible along the whole Palma de Mallorca coast from 2018-10-11 onwards.,explicit
cabcd011-9d82-4124-9f9c-120bdc406cf3,2018-10-12,Palma de Mallorca,Spain,cabcd011-9d82-4124-9f9c-120bdc406cf3_P04,39.62612,3.37886,39.62612 N 3.37886 E,Patches visible along the whole Palma de Mallorca coast from 2018-10-11 onwards.,explicit
05e7c3bc-2eac-4c4b-ba8a-6bf8aa4c0789,2018-10-12,Palma de Mallorca,Spain,05e7c3bc-2eac-4c4b-ba8a-6bf8aa4c0789_P01,39.607,3.469,39.60700 N 3.46900 E,,synthetic_center_plus_100km_cardinals
05e7c3bc-2eac-4c4b-ba8a-6bf8aa4c0789,2018-10-12,Palma de Mallorca,Spain,05e7c3bc-2eac-4c4b-ba8a-6bf8aa4c0789_P02,40.50632,3.469,40.50632 N 3.46900 E,,synthetic_center_plus_100km_cardinals
05e7c3bc-2eac-4c4b-ba8a-6bf8aa4c0789,2018-10-12,Palma de Mallorca,Spain,05e7c3bc-2eac-4c4b-ba8a-6bf8aa4c0789_P03,38.70768,3.469,38.70768 N 3.46900 E,,synthetic_center_plus_100km_cardinals
05e7c3bc-2eac-4c4b-ba8a-6bf8aa4c0789,2018-10-12,Palma de Mallorca,Spain,05e7c3bc-2eac-4c4b-ba8a-6bf8aa4c0789_P04,39.60116,4.63622,39.60116 N 4.63622 E,,synthetic_center_plus_100km_cardinals
05e7c3bc-2eac-4c4b-ba8a-6bf8aa4c0789,2018-10-12,Palma de Mallorca,Spain,05e7c3bc-2eac-4c4b-ba8a-6bf8aa4c0789_P05,39.60116,2.30178,39.60116 N 2.30178 E,,synthetic_center_plus_100km_cardinals
9e17ce98-9eeb-40f6-989e-894dc2be72ea,2017-10-12,Bay Islands of Honduras,Honduras,9e17ce98-9eeb-40f6-989e-894dc2be72ea_P01,16.017,-86.692,16.01700 N 86.69200 W,Same debris visible again in the following year. Additional Planet debris examples were noted during 2018-10-10 to 2018-10-13 near 16.17511 N 86.64093 W; 16.26083 N 86.66296 W; 16.16267 N 86.39596 W; 16.08530 N 86.87297 W.,synthetic_center_plus_100km_cardinals
