tile,source_date,sar_dir,scene_id,acquired_utc,centroid_lon,centroid_lat,bbox_wgs84,raster_file_count,pols,files,planet_quick_search_curl
16PCC,2016-09-04,SAR_+7.9h,S1_16PCC_20160905T000626,2016-09-05T00:06:26Z,-89.106189,16.089787,"-90.426170, 15.117753, -87.799335, 17.060361",1,VV,S1_16PCC_20160905T000626_vv.tif,"curl -u ""$PL_API_KEY:"" -X POST ""https://api.planet.com/data/v1/quick-search"" -H ""Content-Type: application/json"" -d '{""item_types"":[""PSScene""],""filter"":{""type"":""AndFilter"",""config"":[{""type"":""GeometryFilter"",""field_name"":""geometry"",""config"":{""type"":""Polygon"",""coordinates"":[[[-90.39348392825,15.117752790753],[-90.426170264498,17.033059243095],[-87.807051560828,17.060361485619],[-87.799335015143,15.141833568245],[-90.39348392825,15.117752790753]]]}},{""type"":""DateRangeFilter"",""field_name"":""acquired"",""config"":{""gte"":""2016-09-04T12:06:26Z"",""lte"":""2016-09-05T12:06:26Z""}}]},""sort"":[{""field_name"":""acquired"",""direction"":""asc""}],""limit"":250}'"
16PCC,2017-08-30,SAR_+8.0h,S1_16PCC_20170831T000607,2017-08-31T00:06:07Z,-88.770076,14.603059,"-90.092840, 13.622687, -87.459331, 15.581969",2,"VH,VV",S1_16PCC_20170831T000607_vh.tif; S1_16PCC_20170831T000607_vv.tif,"curl -u ""$PL_API_KEY:"" -X POST ""https://api.planet.com/data/v1/quick-search"" -H ""Content-Type: application/json"" -d '{""item_types"":[""PSScene""],""filter"":{""type"":""AndFilter"",""config"":[{""type"":""GeometryFilter"",""field_name"":""geometry"",""config"":{""type"":""Polygon"",""coordinates"":[[[-90.092840218584,15.560725359455],[-87.463380126778,15.581969248257],[-87.459331139201,13.641178707051],[-90.065865788259,13.622686636656],[-90.092840218584,15.560725359455]]]}},{""type"":""DateRangeFilter"",""field_name"":""acquired"",""config"":{""gte"":""2017-08-30T12:06:07Z"",""lte"":""2017-08-31T12:06:07Z""}}]},""sort"":[{""field_name"":""acquired"",""direction"":""asc""}],""limit"":250}'"
16PCC,2017-08-30,SAR_+8.0h,S1_16PCC_20170831T000632,2017-08-31T00:06:32Z,-89.090819,16.114352,"-90.431475, 15.138169, -87.763577, 17.089064",2,"VH,VV",S1_16PCC_20170831T000632_vh.tif; S1_16PCC_20170831T000632_vv.tif,"curl -u ""$PL_API_KEY:"" -X POST ""https://api.planet.com/data/v1/quick-search"" -H ""Content-Type: application/json"" -d '{""item_types"":[""PSScene""],""filter"":{""type"":""AndFilter"",""config"":[{""type"":""GeometryFilter"",""field_name"":""geometry"",""config"":{""type"":""Polygon"",""coordinates"":[[[-90.431474782926,17.061491829178],[-87.770991211929,17.08906424053],[-87.763576760827,15.162479049018],[-90.398548855973,15.138168613809],[-90.431474782926,17.061491829178]]]}},{""type"":""DateRangeFilter"",""field_name"":""acquired"",""config"":{""gte"":""2017-08-30T12:06:32Z"",""lte"":""2017-08-31T12:06:32Z""}}]},""sort"":[{""field_name"":""acquired"",""direction"":""asc""}],""limit"":250}'"
16PCC,2018-02-21,SAR_+7.7h,S1_16PCC_20180221T235803,2018-02-21T23:58:03Z,-86.875238,15.340922,"-88.212030, 14.363875, -85.537250, 16.315052",2,"VH,VV",S1_16PCC_20180221T235803_vh.tif; S1_16PCC_20180221T235803_vv.tif,"curl -u ""$PL_API_KEY:"" -X POST ""https://api.planet.com/data/v1/quick-search"" -H ""Content-Type: application/json"" -d '{""item_types"":[""PSScene""],""filter"":{""type"":""AndFilter"",""config"":[{""type"":""GeometryFilter"",""field_name"":""geometry"",""config"":{""type"":""Polygon"",""coordinates"":[[[-88.212029696424,16.315052489995],[-85.537249884495,16.313464654347],[-85.550758855479,14.363874546764],[-88.200834706056,14.365264188192],[-88.212029696424,16.315052489995]]]}},{""type"":""DateRangeFilter"",""field_name"":""acquired"",""config"":{""gte"":""2018-02-21T11:58:03Z"",""lte"":""2018-02-22T11:58:03Z""}}]},""sort"":[{""field_name"":""acquired"",""direction"":""asc""}],""limit"":250}'"
16PCC,2018-02-26,SAR_+7.9h,S1_16PCC_20180227T000604,2018-02-27T00:06:04Z,-88.770166,14.602786,"-90.093022, 13.622413, -87.459331, 15.581698",2,"VH,VV",S1_16PCC_20180227T000604_vh.tif; S1_16PCC_20180227T000604_vv.tif,"curl -u ""$PL_API_KEY:"" -X POST ""https://api.planet.com/data/v1/quick-search"" -H ""Content-Type: application/json"" -d '{""item_types"":[""PSScene""],""filter"":{""type"":""AndFilter"",""config"":[{""type"":""GeometryFilter"",""field_name"":""geometry"",""config"":{""type"":""Polygon"",""coordinates"":[[[-90.093022423967,15.560451916383],[-87.463379518895,15.581698034397],[-87.459330614777,13.640907447986],[-90.066046931292,13.622413480883],[-90.093022423967,15.560451916383]]]}},{""type"":""DateRangeFilter"",""field_name"":""acquired"",""config"":{""gte"":""2018-02-26T12:06:04Z"",""lte"":""2018-02-27T12:06:04Z""}}]},""sort"":[{""field_name"":""acquired"",""direction"":""asc""}],""limit"":250}'"
16PCC,2018-02-26,SAR_+7.9h,S1_16PCC_20180227T000629,2018-02-27T00:06:29Z,-89.091096,16.114077,"-90.431939, 15.137891, -87.763669, 17.088793",2,"VH,VV",S1_16PCC_20180227T000629_vh.tif; S1_16PCC_20180227T000629_vv.tif,"curl -u ""$PL_API_KEY:"" -X POST ""https://api.planet.com/data/v1/quick-search"" -H ""Content-Type: application/json"" -d '{""item_types"":[""PSScene""],""filter"":{""type"":""AndFilter"",""config"":[{""type"":""GeometryFilter"",""field_name"":""geometry"",""config"":{""type"":""Polygon"",""coordinates"":[[[-90.431938871264,17.061213195561],[-87.771084079578,17.088792723675],[-87.763668866447,15.162207525111],[-90.399009093361,15.1378908613],[-90.431938871264,17.061213195561]]]}},{""type"":""DateRangeFilter"",""field_name"":""acquired"",""config"":{""gte"":""2018-02-26T12:06:29Z"",""lte"":""2018-02-27T12:06:29Z""}}]},""sort"":[{""field_name"":""acquired"",""direction"":""asc""}],""limit"":250}'"
16PCC,2018-08-30,SAR_-4.4h,S1_16PCC_20180830T114546,2018-08-30T11:45:46Z,-88.471853,16.348959,"-89.802087, 15.362027, -87.155150, 17.333809",2,"VH,VV",S1_16PCC_20180830T114546_vh.tif; S1_16PCC_20180830T114546_vv.tif,"curl -u ""$PL_API_KEY:"" -X POST ""https://api.planet.com/data/v1/quick-search"" -H ""Content-Type: application/json"" -d '{""item_types"":[""PSScene""],""filter"":{""type"":""AndFilter"",""config"":[{""type"":""GeometryFilter"",""field_name"":""geometry"",""config"":{""type"":""Polygon"",""coordinates"":[[[-89.802086827993,17.314264636236],[-87.156701291503,17.333808600743],[-87.155149635354,15.379255357449],[-89.774383994353,15.362027347119],[-89.802086827993,17.314264636236]]]}},{""type"":""DateRangeFilter"",""field_name"":""acquired"",""config"":{""gte"":""2018-08-29T23:45:46Z"",""lte"":""2018-08-30T23:45:46Z""}}]},""sort"":[{""field_name"":""acquired"",""direction"":""asc""}],""limit"":250}'"
16PCC,2020-12-12,SAR_+7.8h,S1_16PCC_20201213T000626,2020-12-13T00:06:26Z,-88.769936,14.602969,"-90.092839, 13.622596, -87.459054, 15.581879",2,"VH,VV",S1_16PCC_20201213T000626_vh.tif; S1_16PCC_20201213T000626_vv.tif,"curl -u ""$PL_API_KEY:"" -X POST ""https://api.planet.com/data/v1/quick-search"" -H ""Content-Type: application/json"" -d '{""item_types"":[""PSScene""],""filter"":{""type"":""AndFilter"",""config"":[{""type"":""GeometryFilter"",""field_name"":""geometry"",""config"":{""type"":""Polygon"",""coordinates"":[[[-90.0928388687,15.560635084139],[-87.463100111924,15.581879432665],[-87.459053596924,13.641088800085],[-90.065864623649,13.622596344111],[-90.0928388687,15.560635084139]]]}},{""type"":""DateRangeFilter"",""field_name"":""acquired"",""config"":{""gte"":""2020-12-12T12:06:26Z"",""lte"":""2020-12-13T12:06:26Z""}}]},""sort"":[{""field_name"":""acquired"",""direction"":""asc""}],""limit"":250}'"
16PCC,2020-12-12,SAR_+7.8h,S1_16PCC_20201213T000651,2020-12-13T00:06:51Z,-89.09077,16.114216,"-90.431661, 15.137985, -87.763297, 17.088975",2,"VH,VV",S1_16PCC_20201213T000651_vh.tif; S1_16PCC_20201213T000651_vv.tif,"curl -u ""$PL_API_KEY:"" -X POST ""https://api.planet.com/data/v1/quick-search"" -H ""Content-Type: application/json"" -d '{""item_types"":[""PSScene""],""filter"":{""type"":""AndFilter"",""config"":[{""type"":""GeometryFilter"",""field_name"":""geometry"",""config"":{""type"":""Polygon"",""coordinates"":[[[-90.431660748534,17.061398422218],[-87.770708892189,17.088974926158],[-87.763296874693,15.162299188423],[-90.398731798279,15.1379853119],[-90.431660748534,17.061398422218]]]}},{""type"":""DateRangeFilter"",""field_name"":""acquired"",""config"":{""gte"":""2020-12-12T12:06:51Z"",""lte"":""2020-12-13T12:06:51Z""}}]},""sort"":[{""field_name"":""acquired"",""direction"":""asc""}],""limit"":250}'"
16PDC,2018-10-24,SAR_-4.6h,S1_16PDC_20181024T113731,2018-10-24T11:37:31Z,-86.371129,16.54483,"-87.707292, 15.451373, -85.027722, 17.634779",2,"VH,VV",S1_16PDC_20181024T113731_vh.tif; S1_16PDC_20181024T113731_vv.tif,"curl -u ""$PL_API_KEY:"" -X POST ""https://api.planet.com/data/v1/quick-search"" -H ""Content-Type: application/json"" -d '{""item_types"":[""PSScene""],""filter"":{""type"":""AndFilter"",""config"":[{""type"":""GeometryFilter"",""field_name"":""geometry"",""config"":{""type"":""Polygon"",""coordinates"":[[[-87.707292247628,17.634779291643],[-85.027721944269,17.626186790249],[-85.049703985241,15.45137325838],[-87.699403777591,15.458850573118],[-87.707292247628,17.634779291643]]]}},{""type"":""DateRangeFilter"",""field_name"":""acquired"",""config"":{""gte"":""2018-10-23T23:37:31Z"",""lte"":""2018-10-24T23:37:31Z""}}]},""sort"":[{""field_name"":""acquired"",""direction"":""asc""}],""limit"":250}'"
16PDC,2018-10-24,SAR_-4.6h,S1_16PDC_20181024T113758,2018-10-24T11:37:58Z,-86.709747,14.914115,"-88.014874, 13.940990, -85.401928, 15.884564",2,"VH,VV",S1_16PDC_20181024T113758_vh.tif; S1_16PDC_20181024T113758_vv.tif,"curl -u ""$PL_API_KEY:"" -X POST ""https://api.planet.com/data/v1/quick-search"" -H ""Content-Type: application/json"" -d '{""item_types"":[""PSScene""],""filter"":{""type"":""AndFilter"",""config"":[{""type"":""GeometryFilter"",""field_name"":""geometry"",""config"":{""type"":""Polygon"",""coordinates"":[[[-88.014874469713,15.884564485534],[-85.4019281954,15.881041616236],[-85.416188323847,13.940990383408],[-88.005815640022,13.944064876455],[-88.014874469713,15.884564485534]]]}},{""type"":""DateRangeFilter"",""field_name"":""acquired"",""config"":{""gte"":""2018-10-23T23:37:58Z"",""lte"":""2018-10-24T23:37:58Z""}}]},""sort"":[{""field_name"":""acquired"",""direction"":""asc""}],""limit"":250}'"
18QYF,2020-03-19,SAR_+7.6h,S1_18QYF_20200319T230134,2020-03-19T23:01:34Z,-73.135125,18.589634,"-74.492411, 17.591834, -71.761722, 19.585187",2,"VH,VV",S1_18QYF_20200319T230134_vh.tif; S1_18QYF_20200319T230134_vv.tif,"curl -u ""$PL_API_KEY:"" -X POST ""https://api.planet.com/data/v1/quick-search"" -H ""Content-Type: application/json"" -d '{""item_types"":[""PSScene""],""filter"":{""type"":""AndFilter"",""config"":[{""type"":""GeometryFilter"",""field_name"":""geometry"",""config"":{""type"":""Polygon"",""coordinates"":[[[-74.486544330099,19.585186558607],[-71.761721991699,19.556845430636],[-71.798649409817,17.591834009459],[-74.492411441862,17.617136174662],[-74.486544330099,19.585186558607]]]}},{""type"":""DateRangeFilter"",""field_name"":""acquired"",""config"":{""gte"":""2020-03-19T11:01:34Z"",""lte"":""2020-03-20T11:01:34Z""}}]},""sort"":[{""field_name"":""acquired"",""direction"":""asc""}],""limit"":250}'"
