key,tile,scene_date,s2_product,s2_acquired_utc,s1_product,s1_acquired_utc,s1_delta_hours,centroid_lon,centroid_lat,bbox_wgs84,planet_quick_search_curl_extended,s1_catalog_query_url
16PCC/2016-09-04,16PCC,2016-09-04,S2A_MSIL2A_20160904T161342_N0500_R140_T16PCC_20230924T042913.SAFE,2016-09-04T16:13:42Z,S1A_IW_GRDH_1SSV_20160905T000548_20160905T000613_012910_014685_276F.SAFE,2016-09-05T00:05:48Z,+7.87,-88.354572,15.780086,"-88.871582, 15.280429, -87.840115, 16.279149","curl -u ""$PL_API_KEY:"" -X POST ""https://api.planet.com/data/v1/quick-search"" -H ""Content-Type: application/json"" -d '{""item_types"":[""PSScene""],""filter"":{""type"":""AndFilter"",""config"":[{""type"":""GeometryFilter"",""field_name"":""geometry"",""config"":{""type"":""Polygon"",""coordinates"":[[[-88.862501334991,15.280429154985],[-88.871582182422,16.272556693544],[-87.84421324856,16.279149270631],[-87.840114852151,15.286600159131],[-88.862501334991,15.280429154985]]]}},{""type"":""DateRangeFilter"",""field_name"":""acquired"",""config"":{""gte"":""2016-09-03T16:13:42Z"",""lte"":""2016-09-05T16:13:42Z""}}]},""sort"":[{""field_name"":""acquired"",""direction"":""asc""}],""limit"":250}'","https://catalogue.dataspace.copernicus.eu/odata/v1/Products?$top=200&$orderby=ContentDate/Start%20asc&$filter=Collection/Name%20eq%20'SENTINEL-1'%20and%20OData.CSC.Intersects(area=geography'SRID=4326;POLYGON((-88.871582182422%2015.280429154985,-88.871582182422%2016.279149270631,-87.840114852151%2016.279149270631,-87.840114852151%2015.280429154985,-88.871582182422%2015.280429154985))')%20and%20ContentDate/Start%20gt%202016-08-20T16:13:42Z%20and%20ContentDate/Start%20lt%202016-09-19T16:13:42Z%20and%20contains(Name,'_GRD')"
16PCC/2017-01-12,16PCC,2017-01-12,S2A_MSIL2A_20170112T161621_N0500_R140_T16PCC_20230915T220922.SAFE,2017-01-12T16:16:21Z,S1B_IW_GRDH_1SSV_20170113T114449_20170113T114518_003829_006961_BE5B.SAFE,2017-01-13T11:44:49Z,+19.47,-88.354572,15.780086,"-88.871582, 15.280429, -87.840115, 16.279149","curl -u ""$PL_API_KEY:"" -X POST ""https://api.planet.com/data/v1/quick-search"" -H ""Content-Type: application/json"" -d '{""item_types"":[""PSScene""],""filter"":{""type"":""AndFilter"",""config"":[{""type"":""GeometryFilter"",""field_name"":""geometry"",""config"":{""type"":""Polygon"",""coordinates"":[[[-88.862501334991,15.280429154985],[-88.871582182422,16.272556693544],[-87.84421324856,16.279149270631],[-87.840114852151,15.286600159131],[-88.862501334991,15.280429154985]]]}},{""type"":""DateRangeFilter"",""field_name"":""acquired"",""config"":{""gte"":""2017-01-11T16:16:21Z"",""lte"":""2017-01-13T16:16:21Z""}}]},""sort"":[{""field_name"":""acquired"",""direction"":""asc""}],""limit"":250}'","https://catalogue.dataspace.copernicus.eu/odata/v1/Products?$top=200&$orderby=ContentDate/Start%20asc&$filter=Collection/Name%20eq%20'SENTINEL-1'%20and%20OData.CSC.Intersects(area=geography'SRID=4326;POLYGON((-88.871582182422%2015.280429154985,-88.871582182422%2016.279149270631,-87.840114852151%2016.279149270631,-87.840114852151%2015.280429154985,-88.871582182422%2015.280429154985))')%20and%20ContentDate/Start%20gt%202016-12-28T16:16:21Z%20and%20ContentDate/Start%20lt%202017-01-27T16:16:21Z%20and%20contains(Name,'_GRD')"
16PCC/2017-02-21,16PCC,2017-02-21,S2A_MSIL2A_20170221T161341_N0500_R140_T16PCC_20230926T022700.SAFE,2017-02-21T16:13:41Z,S1A_IW_GRDH_1SDV_20170220T000610_20170220T000635_015360_019327_5795.SAFE,2017-02-20T00:06:10Z,-40.13,-88.354572,15.780086,"-88.871582, 15.280429, -87.840115, 16.279149","curl -u ""$PL_API_KEY:"" -X POST ""https://api.planet.com/data/v1/quick-search"" -H ""Content-Type: application/json"" -d '{""item_types"":[""PSScene""],""filter"":{""type"":""AndFilter"",""config"":[{""type"":""GeometryFilter"",""field_name"":""geometry"",""config"":{""type"":""Polygon"",""coordinates"":[[[-88.862501334991,15.280429154985],[-88.871582182422,16.272556693544],[-87.84421324856,16.279149270631],[-87.840114852151,15.286600159131],[-88.862501334991,15.280429154985]]]}},{""type"":""DateRangeFilter"",""field_name"":""acquired"",""config"":{""gte"":""2017-02-20T16:13:41Z"",""lte"":""2017-02-22T16:13:41Z""}}]},""sort"":[{""field_name"":""acquired"",""direction"":""asc""}],""limit"":250}'","https://catalogue.dataspace.copernicus.eu/odata/v1/Products?$top=200&$orderby=ContentDate/Start%20asc&$filter=Collection/Name%20eq%20'SENTINEL-1'%20and%20OData.CSC.Intersects(area=geography'SRID=4326;POLYGON((-88.871582182422%2015.280429154985,-88.871582182422%2016.279149270631,-87.840114852151%2016.279149270631,-87.840114852151%2015.280429154985,-88.871582182422%2015.280429154985))')%20and%20ContentDate/Start%20gt%202017-02-06T16:13:41Z%20and%20ContentDate/Start%20lt%202017-03-08T16:13:41Z%20and%20contains(Name,'_GRD')"
16PCC/2017-08-30,16PCC,2017-08-30,S2A_MSIL2A_20170830T160901_N0500_R140_T16PCC_20231019T093317.SAFE,2017-08-30T16:09:01Z,S1A_IW_GRDH_1SDV_20170831T000554_20170831T000619_018160_01E82D_7C26.SAFE,2017-08-31T00:05:54Z,+7.95,-88.354572,15.780086,"-88.871582, 15.280429, -87.840115, 16.279149","curl -u ""$PL_API_KEY:"" -X POST ""https://api.planet.com/data/v1/quick-search"" -H ""Content-Type: application/json"" -d '{""item_types"":[""PSScene""],""filter"":{""type"":""AndFilter"",""config"":[{""type"":""GeometryFilter"",""field_name"":""geometry"",""config"":{""type"":""Polygon"",""coordinates"":[[[-88.862501334991,15.280429154985],[-88.871582182422,16.272556693544],[-87.84421324856,16.279149270631],[-87.840114852151,15.286600159131],[-88.862501334991,15.280429154985]]]}},{""type"":""DateRangeFilter"",""field_name"":""acquired"",""config"":{""gte"":""2017-08-29T16:09:01Z"",""lte"":""2017-08-31T16:09:01Z""}}]},""sort"":[{""field_name"":""acquired"",""direction"":""asc""}],""limit"":250}'","https://catalogue.dataspace.copernicus.eu/odata/v1/Products?$top=200&$orderby=ContentDate/Start%20asc&$filter=Collection/Name%20eq%20'SENTINEL-1'%20and%20OData.CSC.Intersects(area=geography'SRID=4326;POLYGON((-88.871582182422%2015.280429154985,-88.871582182422%2016.279149270631,-87.840114852151%2016.279149270631,-87.840114852151%2015.280429154985,-88.871582182422%2015.280429154985))')%20and%20ContentDate/Start%20gt%202017-08-15T16:09:01Z%20and%20ContentDate/Start%20lt%202017-09-14T16:09:01Z%20and%20contains(Name,'_GRD')"
16PCC/2018-02-21,16PCC,2018-02-21,S2B_MSIL2A_20180221T161339_N0500_R140_T16PCC_20230805T224636.SAFE,2018-02-21T16:13:39Z,S1A_IW_GRDH_1SDV_20180221T235750_20180221T235815_020712_0237C2_961B.SAFE,2018-02-21T23:57:50Z,+7.74,-88.354572,15.780086,"-88.871582, 15.280429, -87.840115, 16.279149","curl -u ""$PL_API_KEY:"" -X POST ""https://api.planet.com/data/v1/quick-search"" -H ""Content-Type: application/json"" -d '{""item_types"":[""PSScene""],""filter"":{""type"":""AndFilter"",""config"":[{""type"":""GeometryFilter"",""field_name"":""geometry"",""config"":{""type"":""Polygon"",""coordinates"":[[[-88.862501334991,15.280429154985],[-88.871582182422,16.272556693544],[-87.84421324856,16.279149270631],[-87.840114852151,15.286600159131],[-88.862501334991,15.280429154985]]]}},{""type"":""DateRangeFilter"",""field_name"":""acquired"",""config"":{""gte"":""2018-02-20T16:13:39Z"",""lte"":""2018-02-22T16:13:39Z""}}]},""sort"":[{""field_name"":""acquired"",""direction"":""asc""}],""limit"":250}'","https://catalogue.dataspace.copernicus.eu/odata/v1/Products?$top=200&$orderby=ContentDate/Start%20asc&$filter=Collection/Name%20eq%20'SENTINEL-1'%20and%20OData.CSC.Intersects(area=geography'SRID=4326;POLYGON((-88.871582182422%2015.280429154985,-88.871582182422%2016.279149270631,-87.840114852151%2016.279149270631,-87.840114852151%2015.280429154985,-88.871582182422%2015.280429154985))')%20and%20ContentDate/Start%20gt%202018-02-06T16:13:39Z%20and%20ContentDate/Start%20lt%202018-03-08T16:13:39Z%20and%20contains(Name,'_GRD')"
16PCC/2018-02-26,16PCC,2018-02-26,S2A_MSIL2A_20180226T161341_N0500_R140_T16PCC_20230804T153450.SAFE,2018-02-26T16:13:41Z,S1A_IW_GRDH_1SDV_20180227T000552_20180227T000617_020785_023A21_1E30.SAFE,2018-02-27T00:05:52Z,+7.87,-88.354572,15.780086,"-88.871582, 15.280429, -87.840115, 16.279149","curl -u ""$PL_API_KEY:"" -X POST ""https://api.planet.com/data/v1/quick-search"" -H ""Content-Type: application/json"" -d '{""item_types"":[""PSScene""],""filter"":{""type"":""AndFilter"",""config"":[{""type"":""GeometryFilter"",""field_name"":""geometry"",""config"":{""type"":""Polygon"",""coordinates"":[[[-88.862501334991,15.280429154985],[-88.871582182422,16.272556693544],[-87.84421324856,16.279149270631],[-87.840114852151,15.286600159131],[-88.862501334991,15.280429154985]]]}},{""type"":""DateRangeFilter"",""field_name"":""acquired"",""config"":{""gte"":""2018-02-25T16:13:41Z"",""lte"":""2018-02-27T16:13:41Z""}}]},""sort"":[{""field_name"":""acquired"",""direction"":""asc""}],""limit"":250}'","https://catalogue.dataspace.copernicus.eu/odata/v1/Products?$top=200&$orderby=ContentDate/Start%20asc&$filter=Collection/Name%20eq%20'SENTINEL-1'%20and%20OData.CSC.Intersects(area=geography'SRID=4326;POLYGON((-88.871582182422%2015.280429154985,-88.871582182422%2016.279149270631,-87.840114852151%2016.279149270631,-87.840114852151%2015.280429154985,-88.871582182422%2015.280429154985))')%20and%20ContentDate/Start%20gt%202018-02-11T16:13:41Z%20and%20ContentDate/Start%20lt%202018-03-13T16:13:41Z%20and%20contains(Name,'_GRD')"
16PCC/2018-06-11,16PCC,2018-06-11,S2B_MSIL2A_20180611T160829_N0500_R140_T16PCC_20230716T060336.SAFE,2018-06-11T16:08:29Z,S1A_IW_GRDH_1SDV_20180609T235819_20180609T235844_022287_026979_038C.SAFE,2018-06-09T23:58:19Z,-40.17,-88.354572,15.780086,"-88.871582, 15.280429, -87.840115, 16.279149","curl -u ""$PL_API_KEY:"" -X POST ""https://api.planet.com/data/v1/quick-search"" -H ""Content-Type: application/json"" -d '{""item_types"":[""PSScene""],""filter"":{""type"":""AndFilter"",""config"":[{""type"":""GeometryFilter"",""field_name"":""geometry"",""config"":{""type"":""Polygon"",""coordinates"":[[[-88.862501334991,15.280429154985],[-88.871582182422,16.272556693544],[-87.84421324856,16.279149270631],[-87.840114852151,15.286600159131],[-88.862501334991,15.280429154985]]]}},{""type"":""DateRangeFilter"",""field_name"":""acquired"",""config"":{""gte"":""2018-06-10T16:08:29Z"",""lte"":""2018-06-12T16:08:29Z""}}]},""sort"":[{""field_name"":""acquired"",""direction"":""asc""}],""limit"":250}'","https://catalogue.dataspace.copernicus.eu/odata/v1/Products?$top=200&$orderby=ContentDate/Start%20asc&$filter=Collection/Name%20eq%20'SENTINEL-1'%20and%20OData.CSC.Intersects(area=geography'SRID=4326;POLYGON((-88.871582182422%2015.280429154985,-88.871582182422%2016.279149270631,-87.840114852151%2016.279149270631,-87.840114852151%2015.280429154985,-88.871582182422%2015.280429154985))')%20and%20ContentDate/Start%20gt%202018-05-27T16:08:29Z%20and%20ContentDate/Start%20lt%202018-06-26T16:08:29Z%20and%20contains(Name,'_GRD')"
16PCC/2018-08-30,16PCC,2018-08-30,S2B_MSIL2A_20180830T160819_N0500_R140_T16PCC_20230730T224016.SAFE,2018-08-30T16:08:19Z,S1A_IW_GRDH_1SDV_20180830T114559_20180830T114624_023475_028E42_AE8A.SAFE,2018-08-30T11:45:59Z,-4.37,-88.354572,15.780086,"-88.871582, 15.280429, -87.840115, 16.279149","curl -u ""$PL_API_KEY:"" -X POST ""https://api.planet.com/data/v1/quick-search"" -H ""Content-Type: application/json"" -d '{""item_types"":[""PSScene""],""filter"":{""type"":""AndFilter"",""config"":[{""type"":""GeometryFilter"",""field_name"":""geometry"",""config"":{""type"":""Polygon"",""coordinates"":[[[-88.862501334991,15.280429154985],[-88.871582182422,16.272556693544],[-87.84421324856,16.279149270631],[-87.840114852151,15.286600159131],[-88.862501334991,15.280429154985]]]}},{""type"":""DateRangeFilter"",""field_name"":""acquired"",""config"":{""gte"":""2018-08-29T16:08:19Z"",""lte"":""2018-08-31T16:08:19Z""}}]},""sort"":[{""field_name"":""acquired"",""direction"":""asc""}],""limit"":250}'","https://catalogue.dataspace.copernicus.eu/odata/v1/Products?$top=200&$orderby=ContentDate/Start%20asc&$filter=Collection/Name%20eq%20'SENTINEL-1'%20and%20OData.CSC.Intersects(area=geography'SRID=4326;POLYGON((-88.871582182422%2015.280429154985,-88.871582182422%2016.279149270631,-87.840114852151%2016.279149270631,-87.840114852151%2015.280429154985,-88.871582182422%2015.280429154985))')%20and%20ContentDate/Start%20gt%202018-08-15T16:08:19Z%20and%20ContentDate/Start%20lt%202018-09-14T16:08:19Z%20and%20contains(Name,'_GRD')"
16PCC/2018-09-14,16PCC,2018-09-14,S2A_MSIL2A_20180914T160901_N0500_R140_T16PCC_20230706T225849.SAFE,2018-09-14T16:09:01Z,S1A_IW_GRDH_1SDV_20180913T235825_20180913T235850_023687_0294FD_8A38.SAFE,2018-09-13T23:58:25Z,-16.18,-88.354572,15.780086,"-88.871582, 15.280429, -87.840115, 16.279149","curl -u ""$PL_API_KEY:"" -X POST ""https://api.planet.com/data/v1/quick-search"" -H ""Content-Type: application/json"" -d '{""item_types"":[""PSScene""],""filter"":{""type"":""AndFilter"",""config"":[{""type"":""GeometryFilter"",""field_name"":""geometry"",""config"":{""type"":""Polygon"",""coordinates"":[[[-88.862501334991,15.280429154985],[-88.871582182422,16.272556693544],[-87.84421324856,16.279149270631],[-87.840114852151,15.286600159131],[-88.862501334991,15.280429154985]]]}},{""type"":""DateRangeFilter"",""field_name"":""acquired"",""config"":{""gte"":""2018-09-13T16:09:01Z"",""lte"":""2018-09-15T16:09:01Z""}}]},""sort"":[{""field_name"":""acquired"",""direction"":""asc""}],""limit"":250}'","https://catalogue.dataspace.copernicus.eu/odata/v1/Products?$top=200&$orderby=ContentDate/Start%20asc&$filter=Collection/Name%20eq%20'SENTINEL-1'%20and%20OData.CSC.Intersects(area=geography'SRID=4326;POLYGON((-88.871582182422%2015.280429154985,-88.871582182422%2016.279149270631,-87.840114852151%2016.279149270631,-87.840114852151%2015.280429154985,-88.871582182422%2015.280429154985))')%20and%20ContentDate/Start%20gt%202018-08-30T16:09:01Z%20and%20ContentDate/Start%20lt%202018-09-29T16:09:01Z%20and%20contains(Name,'_GRD')"
16PCC/2018-09-19,16PCC,2018-09-19,S2B_MSIL2A_20180919T160929_N0500_R140_T16PCC_20230623T052740.SAFE,2018-09-19T16:09:29Z,S1A_IW_GRDH_1SDV_20180919T000626_20180919T000651_023760_029754_FD6F.SAFE,2018-09-19T00:06:26Z,-16.05,-88.354572,15.780086,"-88.871582, 15.280429, -87.840115, 16.279149","curl -u ""$PL_API_KEY:"" -X POST ""https://api.planet.com/data/v1/quick-search"" -H ""Content-Type: application/json"" -d '{""item_types"":[""PSScene""],""filter"":{""type"":""AndFilter"",""config"":[{""type"":""GeometryFilter"",""field_name"":""geometry"",""config"":{""type"":""Polygon"",""coordinates"":[[[-88.862501334991,15.280429154985],[-88.871582182422,16.272556693544],[-87.84421324856,16.279149270631],[-87.840114852151,15.286600159131],[-88.862501334991,15.280429154985]]]}},{""type"":""DateRangeFilter"",""field_name"":""acquired"",""config"":{""gte"":""2018-09-18T16:09:29Z"",""lte"":""2018-09-20T16:09:29Z""}}]},""sort"":[{""field_name"":""acquired"",""direction"":""asc""}],""limit"":250}'","https://catalogue.dataspace.copernicus.eu/odata/v1/Products?$top=200&$orderby=ContentDate/Start%20asc&$filter=Collection/Name%20eq%20'SENTINEL-1'%20and%20OData.CSC.Intersects(area=geography'SRID=4326;POLYGON((-88.871582182422%2015.280429154985,-88.871582182422%2016.279149270631,-87.840114852151%2016.279149270631,-87.840114852151%2015.280429154985,-88.871582182422%2015.280429154985))')%20and%20ContentDate/Start%20gt%202018-09-04T16:09:29Z%20and%20ContentDate/Start%20lt%202018-10-04T16:09:29Z%20and%20contains(Name,'_GRD')"
