scene_id,acquired_utc,centroid_lon,centroid_lat,bbox_wgs84,tif_tile_count,jpg_tile_count,example_tif,item_metadata_curl,item_assets_curl
20160928_153233_0e16,2016-09-28T15:32:33Z,-87.581692,15.933425,"-87.626953, 15.897942, -87.517090, 15.977173",23,23,20160928_153233_0e16_16816-29821-16.tif,"curl -u ""$PL_API_KEY:"" ""https://api.planet.com/data/v1/item-types/PSScene/items/20160928_153233_0e16""","curl -u ""$PL_API_KEY:"" ""https://api.planet.com/data/v1/item-types/PSScene/items/20160928_153233_0e16/assets"""
20161008_153104_0e3a,2016-10-08T15:31:04Z,-87.642117,15.969477,"-87.676392, 15.919074, -87.593994, 16.003576",23,23,20161008_153104_0e3a_16807-29816-16.tif,"curl -u ""$PL_API_KEY:"" ""https://api.planet.com/data/v1/item-types/PSScene/items/20161008_153104_0e3a""","curl -u ""$PL_API_KEY:"" ""https://api.planet.com/data/v1/item-types/PSScene/items/20161008_153104_0e3a/assets"""
20161008_153105_0e3a,2016-10-08T15:31:05Z,-87.010849,16.033064,"-87.160034, 16.003576, -86.940308, 16.072207",35,35,20161008_153105_0e3a_16901-29804-16.tif,"curl -u ""$PL_API_KEY:"" ""https://api.planet.com/data/v1/item-types/PSScene/items/20161008_153105_0e3a""","curl -u ""$PL_API_KEY:"" ""https://api.planet.com/data/v1/item-types/PSScene/items/20161008_153105_0e3a/assets"""
20170227_203307_0c37,2017-02-27T20:33:07Z,-87.887878,16.601978,"-87.890625, 16.599346, -87.885132, 16.604610",1,1,20170227_203307_0c37_16768-29702-16.tif,"curl -u ""$PL_API_KEY:"" ""https://api.planet.com/data/v1/item-types/PSScene/items/20170227_203307_0c37""","curl -u ""$PL_API_KEY:"" ""https://api.planet.com/data/v1/item-types/PSScene/items/20170227_203307_0c37/assets"""
20170227_203600_1_0c46,2017-02-27T20:36:00Z,-87.188875,15.890017,"-87.231445, 15.876809, -87.149048, 15.903225",4,4,20170227_203600_1_0c46_16888-29839-16.tif,"curl -u ""$PL_API_KEY:"" ""https://api.planet.com/data/v1/item-types/PSScene/items/20170227_203600_1_0c46""","curl -u ""$PL_API_KEY:"" ""https://api.planet.com/data/v1/item-types/PSScene/items/20170227_203600_1_0c46/assets"""
20170227_203601_0c46,2017-02-27T20:36:01Z,-87.148132,15.890018,"-87.154541, 15.882093, -87.143555, 15.897942",3,3,20170227_203601_0c46_16902-29837-16.tif,"curl -u ""$PL_API_KEY:"" ""https://api.planet.com/data/v1/item-types/PSScene/items/20170227_203601_0c46""","curl -u ""$PL_API_KEY:"" ""https://api.planet.com/data/v1/item-types/PSScene/items/20170227_203601_0c46/assets"""
20170322_153132_0e0f,2017-03-22T15:31:32Z,-85.885224,16.089319,"-85.968018, 16.040534, -85.836182, 16.130262",35,35,20170322_153132_0e0f_17118-29799-16.tif,"curl -u ""$PL_API_KEY:"" ""https://api.planet.com/data/v1/item-types/PSScene/items/20170322_153132_0e0f""","curl -u ""$PL_API_KEY:"" ""https://api.planet.com/data/v1/item-types/PSScene/items/20170322_153132_0e0f/assets"""
20170323_152750_0e20,2017-03-23T15:27:50Z,-84.998092,16.073742,"-85.083618, 16.061650, -84.940796, 16.088042",43,43,20170323_152750_0e20_17279-29803-16.tif,"curl -u ""$PL_API_KEY:"" ""https://api.planet.com/data/v1/item-types/PSScene/items/20170323_152750_0e20""","curl -u ""$PL_API_KEY:"" ""https://api.planet.com/data/v1/item-types/PSScene/items/20170323_152750_0e20/assets"""
20170326_153233_0e26,2017-03-26T15:32:33Z,-86.264061,16.388283,"-86.303101, 16.357039, -86.231689, 16.409740",28,28,20170326_153233_0e26_17057-29746-16.tif,"curl -u ""$PL_API_KEY:"" ""https://api.planet.com/data/v1/item-types/PSScene/items/20170326_153233_0e26""","curl -u ""$PL_API_KEY:"" ""https://api.planet.com/data/v1/item-types/PSScene/items/20170326_153233_0e26/assets"""
20170326_153234_0e26,2017-03-26T15:32:34Z,-86.261,16.321047,"-86.358032, 16.272687, -86.198730, 16.383391",49,49,20170326_153234_0e26_17047-29744-16.tif,"curl -u ""$PL_API_KEY:"" ""https://api.planet.com/data/v1/item-types/PSScene/items/20170326_153234_0e26""","curl -u ""$PL_API_KEY:"" ""https://api.planet.com/data/v1/item-types/PSScene/items/20170326_153234_0e26/assets"""
