event_id,tile,source_date,sar_dir,acquired_utc,pols,raster_file_count,spatial_overlap_point_count,spatial_overlap_source_file_count,overlap_24h_point_count,overlap_24h_source_file_count,min_abs_delta_hours,max_abs_delta_hours,centroid_lon,centroid_lat
16PDC_2018-10-24_SAR_-4.6h_2018-10-24T11:37:31Z,16PDC,2018-10-24,SAR_-4.6h,2018-10-24T11:37:31Z,"VH,VV",2,994,422,1,1,4.408,18140.083,-86.371129,16.54483
16PCC_2018-08-30_SAR_-4.4h_2018-08-30T11:45:46Z,16PCC,2018-08-30,SAR_-4.4h,2018-08-30T11:45:46Z,"VH,VV",2,662,297,0,0,484.368,16820.22,-88.471853,16.348959
16PCC_2018-02-21_SAR_+7.7h_2018-02-21T23:58:03Z,16PCC,2018-02-21,SAR_+7.7h,2018-02-21T23:58:03Z,"VH,VV",2,612,291,0,0,3104.345,12272.425,-86.875238,15.340922
16PCC_2020-12-12_SAR_+7.8h_2020-12-13T00:06:51Z,16PCC,2020-12-12,SAR_+7.8h,2020-12-13T00:06:51Z,"VH,VV",2,460,223,0,0,17984.16,33219.562,-89.09077,16.114216
16PCC_2018-02-26_SAR_+7.9h_2018-02-27T00:06:29Z,16PCC,2018-02-26,SAR_+7.9h,2018-02-27T00:06:29Z,"VH,VV",2,460,223,0,0,3415.887,8739.556,-89.091096,16.114077
16PCC_2017-08-30_SAR_+8.0h_2017-08-31T00:06:32Z,16PCC,2017-08-30,SAR_+8.0h,2017-08-31T00:06:32Z,"VH,VV",2,460,223,0,0,104.429,10815.846,-89.090819,16.114352
16PCC_2016-09-04_SAR_+7.9h_2016-09-05T00:06:26Z,16PCC,2016-09-04,SAR_+7.9h,2016-09-05T00:06:26Z,VV,1,449,218,0,0,4220.445,19455.847,-89.106189,16.089787
16PDC_2018-10-24_SAR_-4.6h_2018-10-24T11:37:58Z,16PDC,2018-10-24,SAR_-4.6h,2018-10-24T11:37:58Z,"VH,VV",2,5,2,0,0,14487.033,14487.033,-86.709747,14.914115
18QYF_2021-01-23_SAR_-4.6h_2021-01-23T10:47:43Z,18QYF,2021-01-23,SAR_-4.6h,2021-01-23T10:47:43Z,"VH,VV",2,0,0,0,0,,,-73.602676,18.674804
16PCC_2020-12-12_SAR_+7.8h_2020-12-13T00:06:26Z,16PCC,2020-12-12,SAR_+7.8h,2020-12-13T00:06:26Z,"VH,VV",2,0,0,0,0,,,-88.769936,14.602969
18QYF_2020-09-15_SAR_+7.6h_2020-09-15T23:01:43Z,18QYF,2020-09-15,SAR_+7.6h,2020-09-15T23:01:43Z,"VH,VV",2,0,0,0,0,,,-73.133842,18.589984
18QYF_2020-03-19_SAR_+7.6h_2020-03-19T23:01:34Z,18QYF,2020-03-19,SAR_+7.6h,2020-03-19T23:01:34Z,"VH,VV",2,0,0,0,0,,,-73.135125,18.589634
48MYU_2019-12-01_SAR_-4.6h_2019-11-30T22:25:49Z,48MYU,2019-12-01,SAR_-4.6h,2019-11-30T22:25:49Z,"VH,VV",2,0,0,0,0,,,108.360351,-6.587828
48PZC_2019-11-24_SAR_+7.8h_2019-11-24T10:56:47Z,48PZC,2019-11-24,SAR_+7.8h,2019-11-24T10:56:47Z,"VH,VV",2,0,0,0,0,,,108.413452,16.005818
30VWH_2018-04-20_SAR_+6.5h_2018-04-20T17:51:02Z,30VWH,2018-04-20,SAR_+6.5h,2018-04-20T17:51:02Z,"VH,VV",2,0,0,0,0,,,-1.898779,56.725199
16PCC_2018-02-26_SAR_+7.9h_2018-02-27T00:06:04Z,16PCC,2018-02-26,SAR_+7.9h,2018-02-27T00:06:04Z,"VH,VV",2,0,0,0,0,,,-88.770166,14.602786
16PCC_2017-08-30_SAR_+8.0h_2017-08-31T00:06:07Z,16PCC,2017-08-30,SAR_+8.0h,2017-08-31T00:06:07Z,"VH,VV",2,0,0,0,0,,,-88.770076,14.603059
51PTS_2016-07-17_SAR_-4.5h_2016-07-16T21:46:43Z,51PTS,2016-07-17,SAR_-4.5h,2016-07-16T21:46:43Z,"VH,VV",2,0,0,0,0,,,120.987361,14.503268
