planet_scene,planet_datetime_utc,training_tiles,aoi_bbox_wgs84,s1_product_name,s1_datetime_utc,delta_t_hours,abs_delta_t_hours
20160928_153233_0e16,2016-09-28T15:32:33Z,23,"-87.626953, 15.897942, -87.517090, 15.977173",S1B_IW_GRDH_1SSV_20160927T114453_20160927T114522_002254_003CB2_3BA9,2016-09-27T11:45:07Z,-27.790403,27.790403
20161008_153104_0e3a,2016-10-08T15:31:04Z,23,"-87.676392, 15.919074, -87.593994, 16.003576",S1B_IW_GRDH_1SSV_20161009T114453_20161009T114522_002429_0041A1_A1F6,2016-10-09T11:45:07Z,+20.234334,20.234334
20161008_153105_0e3a,2016-10-08T15:31:05Z,35,"-87.160034, 16.003576, -86.940308, 16.072207",S1A_IW_GRDH_1SDV_20161005T235753_20161005T235818_013362_015506_6340,2016-10-05T23:58:06Z,-63.549665,63.549665
20170227_203307_0c37,2017-02-27T20:33:07Z,1,"-87.890625, 16.599346, -87.885132, 16.604610",S1A_IW_GRDH_1SDV_20170226T235809_20170226T235834_015462_019635_9FBE,2017-02-26T23:58:21Z,-20.579234,20.579234
20170227_203600_1_0c46,2017-02-27T20:36:00Z,4,"-87.231445, 15.876809, -87.149048, 15.903225",S1A_IW_GRDH_1SDV_20170226T235744_20170226T235809_015462_019635_7912,2017-02-26T23:57:56Z,-20.634233,20.634233
20170227_203601_0c46,2017-02-27T20:36:01Z,3,"-87.154541, 15.882093, -87.143555, 15.897942",S1A_IW_GRDH_1SDV_20170226T235744_20170226T235809_015462_019635_7912,2017-02-26T23:57:56Z,-20.634511,20.634511
20170322_153132_0e0f,2017-03-22T15:31:32Z,35,"-85.968018, 16.040534, -85.836182, 16.130262",S1A_IW_GRDH_1SDV_20170322T235744_20170322T235809_015812_01A0B5_BBCA,2017-03-22T23:57:57Z,+8.440298,8.440298
20170323_152750_0e20,2017-03-23T15:27:50Z,43,"-85.083618, 16.061650, -84.940796, 16.088042",S1A_IW_GRDH_1SDV_20170322T112901_20170322T112930_015804_01A07E_1DCD,2017-03-22T11:29:15Z,-27.976133,27.976133
20170326_153233_0e26,2017-03-26T15:32:33Z,28,"-86.303101, 16.357039, -86.231689, 16.409740",S1A_IW_GRDH_1SDV_20170327T113700_20170327T113729_015877_01A2B2_6368,2017-03-27T11:37:15Z,+20.078343,20.078343
20170326_153234_0e26,2017-03-26T15:32:34Z,49,"-86.358032, 16.272687, -86.198730, 16.383391",S1A_IW_GRDH_1SDV_20170327T113700_20170327T113729_015877_01A2B2_6368,2017-03-27T11:37:15Z,+20.078065,20.078065
20170326_153239_0e26,2017-03-26T15:32:39Z,32,"-86.506348, 15.982454, -86.434937, 16.066929",S1A_IW_GRDH_1SDV_20170327T113700_20170327T113729_015877_01A2B2_6368,2017-03-27T11:37:15Z,+20.076677,20.076677
20170326_154021_0e2f,2017-03-26T15:40:21Z,33,"-88.033447, 16.562493, -87.857666, 16.609874",S1A_IW_GRDH_1SDV_20170328T000611_20170328T000636_015885_01A2ED_0E95,2017-03-28T00:06:23Z,+32.434110,32.434110
20170826_154046_100c,2017-08-26T15:40:46Z,8,"-87.885132, 16.109153, -87.868652, 16.140816",S1A_IW_GRDH_1SDV_20170825T235817_20170825T235842_018087_01E5F9_FBE4,2017-08-25T23:58:30Z,-15.704348,15.704348
20170826_154047_100c,2017-08-26T15:40:47Z,7,"-87.879639, 16.098598, -87.857666, 16.114431",S1A_IW_GRDH_1SDV_20170825T235817_20170825T235842_018087_01E5F9_FBE4,2017-08-25T23:58:30Z,-15.704625,15.704625
20170927_154610_0e14,2017-09-27T15:46:10Z,19,"-88.082886, 15.845105, -88.033447, 15.919074",S1A_IW_GRDH_1SDV_20170924T000620_20170924T000645_018510_01F303_4C0F,2017-09-24T00:06:32Z,-87.660346,87.660346
