patch_index,obs_id,source_id,timestamp,centroid_lon,centroid_lat,estimated_patch_area_m2,validation_type,source_type,planet_status,planet_item_id,planet_acquired,planet_delta_hours,planet_search_window_hours,planet_available_assets,planet_preferred_asset_type,planet_product_bundle,planet_cloud_cover,planet_clear_percent,planet_quality_category,planet_error,quick_search_curl,item_curl,assets_curl,activate_asset_curl,orders_clip_curl,orders_status_curl
1,6ec629af-9109-48b3-99f4-9ca1efcc30ab,S1B_20211003T1641,2021-10-03T16:41:00.000Z,19.287395,43.759150,118299.163,IN_SITU,"SATELLITE,LEO,OPTICAL,SAR,SENTINEL1,SENTINEL2",unresolved_no_api_key,,,,,,,"analytic_udm2,analytic_8b_udm2",,,,,"curl -X POST ""https://api.planet.com/data/v1/quick-search?_sort=acquired%20asc&_page_size=250"" -u ""$PL_API_KEY:"" -H ""Content-Type: application/json"" -d '{""item_types"":[""PSScene""],""geometry"":{""type"":""Polygon"",""coordinates"":[[[19.284825,43.757864],[19.289964,43.757864],[19.289964,43.760436],[19.284825,43.760436],[19.284825,43.757864]]]},""filter"":{""type"":""DateRangeFilter"",""field_name"":""acquired"",""config"":{""gte"":""2021-09-03T16:41:00Z"",""lte"":""2021-11-02T16:41:00Z""}}}'","curl -u ""$PL_API_KEY:"" ""https://api.planet.com/data/v1/item-types/PSScene/items/PATCH_001_ITEM_ID""","curl -u ""$PL_API_KEY:"" ""https://api.planet.com/data/v1/item-types/PSScene/items/PATCH_001_ITEM_ID/assets""","curl -X POST -u ""$PL_API_KEY:"" ""https://api.planet.com/data/v1/item-types/PSScene/items/PATCH_001_ITEM_ID/assets/ortho_analytic_4b/activate""","curl -X POST ""https://api.planet.com/compute/ops/orders/v2"" -u ""$PL_API_KEY:"" -H ""Content-Type: application/json"" -d '{""name"":""mireia_patch_001"",""source_type"":""scenes"",""products"":[{""item_ids"":[""PATCH_001_ITEM_ID""],""item_type"":""PSScene"",""product_bundle"":""analytic_udm2,analytic_8b_udm2""}],""tools"":[{""clip"":{""aoi"":{""type"":""Polygon"",""coordinates"":[[[19.284825,43.757864],[19.289964,43.757864],[19.289964,43.760436],[19.284825,43.760436],[19.284825,43.757864]]]}}}]}'","curl -u ""$PL_API_KEY:"" ""https://api.planet.com/compute/ops/orders/v2/YOUR_ORDER_ID"""
2,449a475a-64e0-4c90-8aeb-4e6ca82b80f4,S1B_20210908T0454,2021-09-08T04:54:00.000Z,19.287395,43.759150,118299.163,IN_SITU,"SATELLITE,LEO,OPTICAL,SAR,SENTINEL1,SENTINEL2",unresolved_no_api_key,,,,,,,"analytic_udm2,analytic_8b_udm2",,,,,"curl -X POST ""https://api.planet.com/data/v1/quick-search?_sort=acquired%20asc&_page_size=250"" -u ""$PL_API_KEY:"" -H ""Content-Type: application/json"" -d '{""item_types"":[""PSScene""],""geometry"":{""type"":""Polygon"",""coordinates"":[[[19.284825,43.757864],[19.289964,43.757864],[19.289964,43.760436],[19.284825,43.760436],[19.284825,43.757864]]]},""filter"":{""type"":""DateRangeFilter"",""field_name"":""acquired"",""config"":{""gte"":""2021-08-09T04:54:00Z"",""lte"":""2021-10-08T04:54:00Z""}}}'","curl -u ""$PL_API_KEY:"" ""https://api.planet.com/data/v1/item-types/PSScene/items/PATCH_002_ITEM_ID""","curl -u ""$PL_API_KEY:"" ""https://api.planet.com/data/v1/item-types/PSScene/items/PATCH_002_ITEM_ID/assets""","curl -X POST -u ""$PL_API_KEY:"" ""https://api.planet.com/data/v1/item-types/PSScene/items/PATCH_002_ITEM_ID/assets/ortho_analytic_4b/activate""","curl -X POST ""https://api.planet.com/compute/ops/orders/v2"" -u ""$PL_API_KEY:"" -H ""Content-Type: application/json"" -d '{""name"":""mireia_patch_002"",""source_type"":""scenes"",""products"":[{""item_ids"":[""PATCH_002_ITEM_ID""],""item_type"":""PSScene"",""product_bundle"":""analytic_udm2,analytic_8b_udm2""}],""tools"":[{""clip"":{""aoi"":{""type"":""Polygon"",""coordinates"":[[[19.284825,43.757864],[19.289964,43.757864],[19.289964,43.760436],[19.284825,43.760436],[19.284825,43.757864]]]}}}]}'","curl -u ""$PL_API_KEY:"" ""https://api.planet.com/compute/ops/orders/v2/YOUR_ORDER_ID"""
3,3f6da35f-cc98-4cc4-92bd-3408b9b6b92c,S1B_20210730T1632,2021-07-30T16:32:00.000Z,19.287395,43.759150,118299.163,IN_SITU,"SATELLITE,LEO,OPTICAL,SAR,SENTINEL1,SENTINEL2",unresolved_no_api_key,,,,,,,"analytic_udm2,analytic_8b_udm2",,,,,"curl -X POST ""https://api.planet.com/data/v1/quick-search?_sort=acquired%20asc&_page_size=250"" -u ""$PL_API_KEY:"" -H ""Content-Type: application/json"" -d '{""item_types"":[""PSScene""],""geometry"":{""type"":""Polygon"",""coordinates"":[[[19.284825,43.757864],[19.289964,43.757864],[19.289964,43.760436],[19.284825,43.760436],[19.284825,43.757864]]]},""filter"":{""type"":""DateRangeFilter"",""field_name"":""acquired"",""config"":{""gte"":""2021-06-30T16:32:00Z"",""lte"":""2021-08-29T16:32:00Z""}}}'","curl -u ""$PL_API_KEY:"" ""https://api.planet.com/data/v1/item-types/PSScene/items/PATCH_003_ITEM_ID""","curl -u ""$PL_API_KEY:"" ""https://api.planet.com/data/v1/item-types/PSScene/items/PATCH_003_ITEM_ID/assets""","curl -X POST -u ""$PL_API_KEY:"" ""https://api.planet.com/data/v1/item-types/PSScene/items/PATCH_003_ITEM_ID/assets/ortho_analytic_4b/activate""","curl -X POST ""https://api.planet.com/compute/ops/orders/v2"" -u ""$PL_API_KEY:"" -H ""Content-Type: application/json"" -d '{""name"":""mireia_patch_003"",""source_type"":""scenes"",""products"":[{""item_ids"":[""PATCH_003_ITEM_ID""],""item_type"":""PSScene"",""product_bundle"":""analytic_udm2,analytic_8b_udm2""}],""tools"":[{""clip"":{""aoi"":{""type"":""Polygon"",""coordinates"":[[[19.284825,43.757864],[19.289964,43.757864],[19.289964,43.760436],[19.284825,43.760436],[19.284825,43.757864]]]}}}]}'","curl -u ""$PL_API_KEY:"" ""https://api.planet.com/compute/ops/orders/v2/YOUR_ORDER_ID"""
4,498c8221-d14c-44a8-bdf1-8acbfcf9216a,S1B_20210723T1641,2021-07-23T16:41:00.000Z,19.287395,43.759150,118299.163,IN_SITU,"SATELLITE,LEO,OPTICAL,SAR,SENTINEL1,SENTINEL2",unresolved_no_api_key,,,,,,,"analytic_udm2,analytic_8b_udm2",,,,,"curl -X POST ""https://api.planet.com/data/v1/quick-search?_sort=acquired%20asc&_page_size=250"" -u ""$PL_API_KEY:"" -H ""Content-Type: application/json"" -d '{""item_types"":[""PSScene""],""geometry"":{""type"":""Polygon"",""coordinates"":[[[19.284825,43.757864],[19.289964,43.757864],[19.289964,43.760436],[19.284825,43.760436],[19.284825,43.757864]]]},""filter"":{""type"":""DateRangeFilter"",""field_name"":""acquired"",""config"":{""gte"":""2021-06-23T16:41:00Z"",""lte"":""2021-08-22T16:41:00Z""}}}'","curl -u ""$PL_API_KEY:"" ""https://api.planet.com/data/v1/item-types/PSScene/items/PATCH_004_ITEM_ID""","curl -u ""$PL_API_KEY:"" ""https://api.planet.com/data/v1/item-types/PSScene/items/PATCH_004_ITEM_ID/assets""","curl -X POST -u ""$PL_API_KEY:"" ""https://api.planet.com/data/v1/item-types/PSScene/items/PATCH_004_ITEM_ID/assets/ortho_analytic_4b/activate""","curl -X POST ""https://api.planet.com/compute/ops/orders/v2"" -u ""$PL_API_KEY:"" -H ""Content-Type: application/json"" -d '{""name"":""mireia_patch_004"",""source_type"":""scenes"",""products"":[{""item_ids"":[""PATCH_004_ITEM_ID""],""item_type"":""PSScene"",""product_bundle"":""analytic_udm2,analytic_8b_udm2""}],""tools"":[{""clip"":{""aoi"":{""type"":""Polygon"",""coordinates"":[[[19.284825,43.757864],[19.289964,43.757864],[19.289964,43.760436],[19.284825,43.760436],[19.284825,43.757864]]]}}}]}'","curl -u ""$PL_API_KEY:"" ""https://api.planet.com/compute/ops/orders/v2/YOUR_ORDER_ID"""
5,3fe3a9a3-0f18-4430-8e34-0cd262ea6389,S1B_20210628T0454,2021-06-28T04:54:00.000Z,19.287395,43.759150,118299.163,IN_SITU,"SATELLITE,LEO,OPTICAL,SAR,SENTINEL1,SENTINEL2",unresolved_no_api_key,,,,,,,"analytic_udm2,analytic_8b_udm2",,,,,"curl -X POST ""https://api.planet.com/data/v1/quick-search?_sort=acquired%20asc&_page_size=250"" -u ""$PL_API_KEY:"" -H ""Content-Type: application/json"" -d '{""item_types"":[""PSScene""],""geometry"":{""type"":""Polygon"",""coordinates"":[[[19.284825,43.757864],[19.289964,43.757864],[19.289964,43.760436],[19.284825,43.760436],[19.284825,43.757864]]]},""filter"":{""type"":""DateRangeFilter"",""field_name"":""acquired"",""config"":{""gte"":""2021-05-29T04:54:00Z"",""lte"":""2021-07-28T04:54:00Z""}}}'","curl -u ""$PL_API_KEY:"" ""https://api.planet.com/data/v1/item-types/PSScene/items/PATCH_005_ITEM_ID""","curl -u ""$PL_API_KEY:"" ""https://api.planet.com/data/v1/item-types/PSScene/items/PATCH_005_ITEM_ID/assets""","curl -X POST -u ""$PL_API_KEY:"" ""https://api.planet.com/data/v1/item-types/PSScene/items/PATCH_005_ITEM_ID/assets/ortho_analytic_4b/activate""","curl -X POST ""https://api.planet.com/compute/ops/orders/v2"" -u ""$PL_API_KEY:"" -H ""Content-Type: application/json"" -d '{""name"":""mireia_patch_005"",""source_type"":""scenes"",""products"":[{""item_ids"":[""PATCH_005_ITEM_ID""],""item_type"":""PSScene"",""product_bundle"":""analytic_udm2,analytic_8b_udm2""}],""tools"":[{""clip"":{""aoi"":{""type"":""Polygon"",""coordinates"":[[[19.284825,43.757864],[19.289964,43.757864],[19.289964,43.760436],[19.284825,43.760436],[19.284825,43.757864]]]}}}]}'","curl -u ""$PL_API_KEY:"" ""https://api.planet.com/compute/ops/orders/v2/YOUR_ORDER_ID"""
6,23a2adda-7b5e-4c11-a392-f1757520cd2d,S1B_20210605T1641,2021-06-05T16:41:00.000Z,19.287395,43.759150,118299.163,IN_SITU,"SATELLITE,LEO,OPTICAL,SAR,SENTINEL1,SENTINEL2",unresolved_no_api_key,,,,,,,"analytic_udm2,analytic_8b_udm2",,,,,"curl -X POST ""https://api.planet.com/data/v1/quick-search?_sort=acquired%20asc&_page_size=250"" -u ""$PL_API_KEY:"" -H ""Content-Type: application/json"" -d '{""item_types"":[""PSScene""],""geometry"":{""type"":""Polygon"",""coordinates"":[[[19.284825,43.757864],[19.289964,43.757864],[19.289964,43.760436],[19.284825,43.760436],[19.284825,43.757864]]]},""filter"":{""type"":""DateRangeFilter"",""field_name"":""acquired"",""config"":{""gte"":""2021-05-06T16:41:00Z"",""lte"":""2021-07-05T16:41:00Z""}}}'","curl -u ""$PL_API_KEY:"" ""https://api.planet.com/data/v1/item-types/PSScene/items/PATCH_006_ITEM_ID""","curl -u ""$PL_API_KEY:"" ""https://api.planet.com/data/v1/item-types/PSScene/items/PATCH_006_ITEM_ID/assets""","curl -X POST -u ""$PL_API_KEY:"" ""https://api.planet.com/data/v1/item-types/PSScene/items/PATCH_006_ITEM_ID/assets/ortho_analytic_4b/activate""","curl -X POST ""https://api.planet.com/compute/ops/orders/v2"" -u ""$PL_API_KEY:"" -H ""Content-Type: application/json"" -d '{""name"":""mireia_patch_006"",""source_type"":""scenes"",""products"":[{""item_ids"":[""PATCH_006_ITEM_ID""],""item_type"":""PSScene"",""product_bundle"":""analytic_udm2,analytic_8b_udm2""}],""tools"":[{""clip"":{""aoi"":{""type"":""Polygon"",""coordinates"":[[[19.284825,43.757864],[19.289964,43.757864],[19.289964,43.760436],[19.284825,43.760436],[19.284825,43.757864]]]}}}]}'","curl -u ""$PL_API_KEY:"" ""https://api.planet.com/compute/ops/orders/v2/YOUR_ORDER_ID"""
7,b1fffddd-b2c2-4e5c-8698-644305b09e38,S1B_20210524T1641,2021-05-24T16:41:00.000Z,19.287395,43.759150,118299.163,IN_SITU,"SATELLITE,LEO,OPTICAL,SAR,SENTINEL1,SENTINEL2",unresolved_no_api_key,,,,,,,"analytic_udm2,analytic_8b_udm2",,,,,"curl -X POST ""https://api.planet.com/data/v1/quick-search?_sort=acquired%20asc&_page_size=250"" -u ""$PL_API_KEY:"" -H ""Content-Type: application/json"" -d '{""item_types"":[""PSScene""],""geometry"":{""type"":""Polygon"",""coordinates"":[[[19.284825,43.757864],[19.289964,43.757864],[19.289964,43.760436],[19.284825,43.760436],[19.284825,43.757864]]]},""filter"":{""type"":""DateRangeFilter"",""field_name"":""acquired"",""config"":{""gte"":""2021-04-24T16:41:00Z"",""lte"":""2021-06-23T16:41:00Z""}}}'","curl -u ""$PL_API_KEY:"" ""https://api.planet.com/data/v1/item-types/PSScene/items/PATCH_007_ITEM_ID""","curl -u ""$PL_API_KEY:"" ""https://api.planet.com/data/v1/item-types/PSScene/items/PATCH_007_ITEM_ID/assets""","curl -X POST -u ""$PL_API_KEY:"" ""https://api.planet.com/data/v1/item-types/PSScene/items/PATCH_007_ITEM_ID/assets/ortho_analytic_4b/activate""","curl -X POST ""https://api.planet.com/compute/ops/orders/v2"" -u ""$PL_API_KEY:"" -H ""Content-Type: application/json"" -d '{""name"":""mireia_patch_007"",""source_type"":""scenes"",""products"":[{""item_ids"":[""PATCH_007_ITEM_ID""],""item_type"":""PSScene"",""product_bundle"":""analytic_udm2,analytic_8b_udm2""}],""tools"":[{""clip"":{""aoi"":{""type"":""Polygon"",""coordinates"":[[[19.284825,43.757864],[19.289964,43.757864],[19.289964,43.760436],[19.284825,43.760436],[19.284825,43.757864]]]}}}]}'","curl -u ""$PL_API_KEY:"" ""https://api.planet.com/compute/ops/orders/v2/YOUR_ORDER_ID"""
8,2dee6f8f-db40-4f97-b257-c4aa9517515b,S1B_20210519T1632,2021-05-19T16:32:00.000Z,19.287395,43.759150,118299.163,IN_SITU,"SATELLITE,LEO,OPTICAL,SAR,SENTINEL1,SENTINEL2",unresolved_no_api_key,,,,,,,"analytic_udm2,analytic_8b_udm2",,,,,"curl -X POST ""https://api.planet.com/data/v1/quick-search?_sort=acquired%20asc&_page_size=250"" -u ""$PL_API_KEY:"" -H ""Content-Type: application/json"" -d '{""item_types"":[""PSScene""],""geometry"":{""type"":""Polygon"",""coordinates"":[[[19.284825,43.757864],[19.289964,43.757864],[19.289964,43.760436],[19.284825,43.760436],[19.284825,43.757864]]]},""filter"":{""type"":""DateRangeFilter"",""field_name"":""acquired"",""config"":{""gte"":""2021-04-19T16:32:00Z"",""lte"":""2021-06-18T16:32:00Z""}}}'","curl -u ""$PL_API_KEY:"" ""https://api.planet.com/data/v1/item-types/PSScene/items/PATCH_008_ITEM_ID""","curl -u ""$PL_API_KEY:"" ""https://api.planet.com/data/v1/item-types/PSScene/items/PATCH_008_ITEM_ID/assets""","curl -X POST -u ""$PL_API_KEY:"" ""https://api.planet.com/data/v1/item-types/PSScene/items/PATCH_008_ITEM_ID/assets/ortho_analytic_4b/activate""","curl -X POST ""https://api.planet.com/compute/ops/orders/v2"" -u ""$PL_API_KEY:"" -H ""Content-Type: application/json"" -d '{""name"":""mireia_patch_008"",""source_type"":""scenes"",""products"":[{""item_ids"":[""PATCH_008_ITEM_ID""],""item_type"":""PSScene"",""product_bundle"":""analytic_udm2,analytic_8b_udm2""}],""tools"":[{""clip"":{""aoi"":{""type"":""Polygon"",""coordinates"":[[[19.284825,43.757864],[19.289964,43.757864],[19.289964,43.760436],[19.284825,43.760436],[19.284825,43.757864]]]}}}]}'","curl -u ""$PL_API_KEY:"" ""https://api.planet.com/compute/ops/orders/v2/YOUR_ORDER_ID"""
9,adf9a7c0-542a-40a6-a2ec-4cf93f4215d2,S1B_20210511T0454,2021-05-11T04:54:00.000Z,19.287395,43.759150,118299.163,IN_SITU,"SATELLITE,LEO,OPTICAL,SAR,SENTINEL1,SENTINEL2",unresolved_no_api_key,,,,,,,"analytic_udm2,analytic_8b_udm2",,,,,"curl -X POST ""https://api.planet.com/data/v1/quick-search?_sort=acquired%20asc&_page_size=250"" -u ""$PL_API_KEY:"" -H ""Content-Type: application/json"" -d '{""item_types"":[""PSScene""],""geometry"":{""type"":""Polygon"",""coordinates"":[[[19.284825,43.757864],[19.289964,43.757864],[19.289964,43.760436],[19.284825,43.760436],[19.284825,43.757864]]]},""filter"":{""type"":""DateRangeFilter"",""field_name"":""acquired"",""config"":{""gte"":""2021-04-11T04:54:00Z"",""lte"":""2021-06-10T04:54:00Z""}}}'","curl -u ""$PL_API_KEY:"" ""https://api.planet.com/data/v1/item-types/PSScene/items/PATCH_009_ITEM_ID""","curl -u ""$PL_API_KEY:"" ""https://api.planet.com/data/v1/item-types/PSScene/items/PATCH_009_ITEM_ID/assets""","curl -X POST -u ""$PL_API_KEY:"" ""https://api.planet.com/data/v1/item-types/PSScene/items/PATCH_009_ITEM_ID/assets/ortho_analytic_4b/activate""","curl -X POST ""https://api.planet.com/compute/ops/orders/v2"" -u ""$PL_API_KEY:"" -H ""Content-Type: application/json"" -d '{""name"":""mireia_patch_009"",""source_type"":""scenes"",""products"":[{""item_ids"":[""PATCH_009_ITEM_ID""],""item_type"":""PSScene"",""product_bundle"":""analytic_udm2,analytic_8b_udm2""}],""tools"":[{""clip"":{""aoi"":{""type"":""Polygon"",""coordinates"":[[[19.284825,43.757864],[19.289964,43.757864],[19.289964,43.760436],[19.284825,43.760436],[19.284825,43.757864]]]}}}]}'","curl -u ""$PL_API_KEY:"" ""https://api.planet.com/compute/ops/orders/v2/YOUR_ORDER_ID"""
10,c8263fd7-91b0-4222-be30-11736117f07c,S1B_20210506T0446,2021-05-06T04:46:00.000Z,19.287395,43.759150,118299.163,IN_SITU,"SATELLITE,LEO,OPTICAL,SAR,SENTINEL1,SENTINEL2",unresolved_no_api_key,,,,,,,"analytic_udm2,analytic_8b_udm2",,,,,"curl -X POST ""https://api.planet.com/data/v1/quick-search?_sort=acquired%20asc&_page_size=250"" -u ""$PL_API_KEY:"" -H ""Content-Type: application/json"" -d '{""item_types"":[""PSScene""],""geometry"":{""type"":""Polygon"",""coordinates"":[[[19.284825,43.757864],[19.289964,43.757864],[19.289964,43.760436],[19.284825,43.760436],[19.284825,43.757864]]]},""filter"":{""type"":""DateRangeFilter"",""field_name"":""acquired"",""config"":{""gte"":""2021-04-06T04:46:00Z"",""lte"":""2021-06-05T04:46:00Z""}}}'","curl -u ""$PL_API_KEY:"" ""https://api.planet.com/data/v1/item-types/PSScene/items/PATCH_010_ITEM_ID""","curl -u ""$PL_API_KEY:"" ""https://api.planet.com/data/v1/item-types/PSScene/items/PATCH_010_ITEM_ID/assets""","curl -X POST -u ""$PL_API_KEY:"" ""https://api.planet.com/data/v1/item-types/PSScene/items/PATCH_010_ITEM_ID/assets/ortho_analytic_4b/activate""","curl -X POST ""https://api.planet.com/compute/ops/orders/v2"" -u ""$PL_API_KEY:"" -H ""Content-Type: application/json"" -d '{""name"":""mireia_patch_010"",""source_type"":""scenes"",""products"":[{""item_ids"":[""PATCH_010_ITEM_ID""],""item_type"":""PSScene"",""product_bundle"":""analytic_udm2,analytic_8b_udm2""}],""tools"":[{""clip"":{""aoi"":{""type"":""Polygon"",""coordinates"":[[[19.284825,43.757864],[19.289964,43.757864],[19.289964,43.760436],[19.284825,43.760436],[19.284825,43.757864]]]}}}]}'","curl -u ""$PL_API_KEY:"" ""https://api.planet.com/compute/ops/orders/v2/YOUR_ORDER_ID"""
